Reference	Localized Group	Message	Selections	
figs-abstractnouns_7_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	वह भला जन है।-1	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	अविश्वासी नहीं, परन्तु विश्वासी बन।-1	
figs-explicit_18_36__2	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	इस संसार का नहीं है-1 इस संसार का-2	
figs-explicit_19_42__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	यहूदियों की तैयारी का दिन के कारण और क्योंकि वह कब्र निकट ही थी, उन्होंने यीशु को उसमें रख दिया-1	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	हे महोदय, यदि तू ही उसे उठा ले गया है,-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	मैं मेरे पिता तथा तुम्हारे पिता, और मेरे परमेश्वर तथा तुम्हारे परमेश्वर के पास ऊपर जाता हूँ।’”-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	मरियम मगदलीनी आकर, चेलों से बोली,-1	
figs-explicit_20_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	यहूदियों के भय के कारण-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	{अपने} हाथ और {अपनी} बगल दिखाई।-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	विश्वासी बन-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तूने विश्वास किया-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	नहीं देखा-1	
figs-explicit_20_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	वे प्रभु को कब्र में से निकाल कर ले गए,-1	
figs-explicit_20_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	उसने देखकर विश्वास किया।-1	
figs-explicit_20_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	उन्होंने अभी तक पवित्रशास्त्र को नहीं समझा था-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	वह किस प्रकार मृत्यु से परमेश्वर की महिमा करेगा-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	“मेरे पीछे आ।”-1	
figs-explicit_21_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	हम जानते हैं-1	
figs-idiom_21_7__1	Idiom	unable to migrate selection, no match found for check in new resources	कूद गया।-1	
