Reference	Localized Group	Message	Selections	
figs-123person_12_2__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ಹದಿನಾಲ್ಕು ವರ್ಷಗಳ ಹಿಂದೆ, ದೇವರು ಒಬ್ಬ ನಿರ್ದಿಷ್ಟ ಕ್ರೈಸ್ತನನ್ನು ಪರಲೋಕದ ಮೂರನೆಯ {ಹಂತದವರೆಗೆ} ಕರೆದುಕೊಂಡು ಹೋದನು.-1	
figs-123person_12_3__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ಆ ನಿರ್ದಿಷ್ಟ ಕ್ರೈಸ್ತನ-1	
figs-123person_12_4__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ದೇವರು ಆ ವ್ಯಕ್ತಿಯನ್ನು ಪರದೈಸಿಗೆ {ಸತ್ತು ಹೋಗಿರುವ ವಿಶ್ವಾಸಿಗಳಿರುವ ಸ್ಥಳಕ್ಕೆ} ತೆಗೆದುಕೊಂಡು ಹೋಗಿದ್ದಾನೆ. ಅಲ್ಲಿ, ಅದು ಯಾರಿಗೂ ಪುನಃ ಹೇಳಲು ಸಾಧ್ಯವಾಗದಿರುವ ಆಶ್ಚರ್ಯಕರವಾದ ಸಂಗತಿಗಳನ್ನು ಅವನು ಕೇಳಿಸಿಕೊಂಡನು.-1	
figs-123person_12_5__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ನಾನು ಅದರ ಕುರಿತು ದೊಡ್ಡದಾದ ಸಂಗತಿಗಳನ್ನು ಹೇಳಬಹುದು {ಯಾಕಂದರೆ ನಾನು ಯಾವ ವ್ಯಕ್ತಿಯನ್ನು ಕುರಿತು ಮಾತನಾಡುತ್ತಿರುವೆನೋ ಅವನು ನಾನೇ ಆಗಿದ್ದೇನೆ}. ಆದಾಗ್ಯೂ, ನಾನು ದೊಡ್ಡ ಸಂಗತಿಗಳನ್ನು ಹೇಳುವುದು ನಾನು-1 ಎಂಬುದರ ಕುರಿತಾಗಿ ಮಾತ್ರ.-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ವಾಸ್ತವವಾಗಿ,-1 ನಾವು ವಿಶ್ವಾಸದಿಂದ ನಿರೀಕ್ಷಿಸುತ್ತೇವೆ.-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ಇನ್ನೂ ಹೆಚ್ಚು-1	
figs-abstractnouns_10_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ಬಲವಂತವಾಗಿ ನಡೆದುಕೊಳ್ಳಲು-1 ನಿಮ್ಮೊಂದಿಗೂ ಸಹ ಬಲವಂತವಾಗಿ ನಡೆದುಕೊಳ್ಳುವ ಅಗತ್ಯ-1	
figs-abstractnouns_10_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು ನಾವು ರಕ್ಷಿಸಿಕೊಳ್ಳಲು-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ದೇವರನ್ನು ತಿಳಿದುಕೊಳ್ಳುವುದಕ್ಕಿಂತ-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ಆದುದರಿಂದ ಅವರು ಮೆಸ್ಸಿಯನಿಗೆ ವಿಧೇಯರಾಗುತ್ತಾರೆ.-1	
