Reference	Localized Group	Message	Selections	
figs-abstractnouns_4_10__1	Abstract Nouns	2 duplicate migrations		
figs-abstractnouns_5_20__1	Abstract Nouns	2 duplicate migrations		
figs-ellipsis_2_2__1	Ellipsis	unable to migrate selection, no match found for check in new resources	आणि केवळ आपल्यासाठीच नाही, तर संपूर्ण जगासाठी आहे.-1	
figs-ellipsis_4_1__1	Ellipsis	unable to migrate selection, no match found for check in new resources	देवापासून आहेत किंवा नाही-1	
figs-explicit_1_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	पण आपण आपली पापे कबुल केली-1	
figs-explicit_2_26__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	जे तुम्हाला बहकवतात-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	त्याने तो चालतो तसे चालले पाहिजे.-1	
figs-explicit_5_10__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	त्याने त्याला लबाड ठरवले आहे-1	
figs-explicitinfo_1_1__1	Making Assumed Knowledge and Implicit Information Explicit	unable to migrate selection, no match found for check in new resources	आम्ही डोळ्यांनी पाहिले-1 आमच्या हाताने स्पर्श केला-1	
figs-genericnoun_4_21__1	Generic Noun Phrases	unable to migrate selection, no match found for check in new resources	जो देवावर प्रिती करतो-1	
figs-genericnoun_5_10__1	Generic Noun Phrases	unable to migrate selection, no match found for check in new resources	जो कोणी-1 विश्वास ठेवतो-1	
figs-hyperbole_3_18__1	Hyperbole	unable to migrate selection, no match found for check in new resources	पण शब्दाने नव्हे किंवा जिभेने नव्हे-1 प्रिती करावी-1	
figs-idiom_2_18__-1	Idiom	unable to migrate selection, no match found for check in new resources	ही शेवटची घटका आहे-1	
figs-idiom_2_24__-1	Idiom	unable to migrate selection, no match found for check in new resources	सुरुवाती-1	
figs-idiom_3_17__1	Idiom	unable to migrate selection, no match found for check in new resources	गरजवंत आहे-1 त्याच्यावर दया करीत नाही-1	
figs-idiom_4_6__1	Idiom	2 duplicate migrations		
figs-metaphor_2_10__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, there are 5 similar checks	तो कोठे चालला आहे, कळत नाही,-1	
figs-metaphor_2_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	जग-1 नाहीशी होत-1	
figs-metaphor_2_27__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_5__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_14__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 3 similar checks	त्याच्या ठायी देवाची प्रिती कशी राहील?-1	
figs-metaphor_3_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_9__1	Metaphor	2 duplicate migrations		
figs-metaphor_5_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	आपण त्याचा पुत्र येशू खिस्त याच्या सत्यामध्ये आहोत,-1	
figs-metaphor_5_6__1	Metaphor	2 duplicate migrations		
figs-metonymy_2_14__1	Metonymy	unable to migrate selection, there are 2 similar checks	देवाच वचन तुमच्या मध्ये राहते-1	
figs-metonymy_5_4__2	Metonymy	unable to migrate selection, no match found for check in new resources	जगावर-1	
figs-personification_5_7__1	Personification	unable to migrate selection, no match found for check in new resources	हे-1 साक्षीदार आहेत-1	
figs-quotations_5_11__1	Direct and Indirect Quotations	unable to migrate selection, no match found for check in new resources	देवाने आपल्याला सार्वकालीन जीवन दिले आहे, आणि हे जीवन त्याच्या पुत्रामध्ये आहे.-1	
grammar-connect-condition-contrary_2_19__1	Connect – Contrary to Fact Conditions	unable to migrate selection, no match found for check in new resources	कारण जर ते आमच्यातले असते तर ते आमच्यातच राहिले असते-1	
grammar-connect-condition-fact_2_3__1	Connect – Factual Conditions	unable to migrate selection, no match found for check in new resources	यामध्ये आपल्याला कळते की आपण त्याला ओळखतो, जर आपण त्याच्या आज्ञा पाळतो.-1	
grammar-connect-condition-fact_4_11__1	Connect – Factual Conditions	2 duplicate migrations		
grammar-connect-condition-fact_4_12__1	Connect – Factual Conditions	unable to migrate selection, no match found for check in new resources	जर आपण एकमेकांवर प्रिती केली, देव आपल्यामध्ये राहतो आणि त्याची प्रिती आपल्याठायी पूर्ण झाली आहे.-1	
grammar-connect-exceptions_2_21__1	Connect – Exception Clauses	unable to migrate selection, no match found for check in new resources	मी तुम्हाला लिहिले नाही कारण तुम्हाला सत्य माहित नाही-1 तुम्हाला ते कळते-1	
grammar-connect-exceptions_5_6__1	Connect – Exception Clauses	unable to migrate selection, no match found for check in new resources	केवळ पाण्याद्वारेच नव्हे-1 पाणी आणि रक्त याद्वारे आला-1	
grammar-connect-logic-result_3_13__1	Connect – Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	तेव्हा आश्चर्य मानू नका-1	
translate-unknown_2_18__1	Translate Unknowns	unable to migrate selection, no match found for check in new resources	ख्रिस्त विरोधक येत आहे,आणि आता अनेक ख्रिस्तविरोधक आले आहेत-1	
writing-pronouns_1_1__1	Pronouns – When to Use Them	unable to migrate selection, there are 2 similar checks	जीवनाच्या शब्दाबद्दल आहे-1	
writing-pronouns_2_27__1	Pronouns – When to Use Them	unable to migrate selection, there are 2 similar checks	त्याच्या-1 त्याचा-1 त्याच्यामध्ये-1	
writing-pronouns_3_23__1	Pronouns – When to Use Them	2 duplicate migrations		
writing-pronouns_4_17__1	Pronouns – When to Use Them	2 duplicate migrations		
writing-pronouns_5_13__1	Pronouns – When to Use Them	unable to migrate selection, no match found for check in new resources	या बाबत-1	
writing-pronouns_5_9__1	Pronouns – When to Use Them	unable to migrate selection, no match found for check in new resources	ही देवाची साक्ष आहे-1	
