Reference	Localized Group	Message	Selections	
figs-litany_6_3__1	Litany	unable to migrate selection, no match found for check in new resources	ಈತನು ಬಡಗಿಯಲ್ಲವೇ, ಮರಿಯಳ ಮಗನು ಮತ್ತು ಯಾಕೋಬನ ಮತ್ತು ಯೋಸೆ ಮತ್ತು ಯೂದ ಮತ್ತು ಸೀಮೋನರ ಸಹೋದರನಲ್ಲವೇ? ಮತ್ತು ಆತನ ಸಹೋದರಿಯರು ನಮ್ಮ ಸಂಗಡ ಇರಲಿಲ್ಲ ಅಲ್ಲವೇ?"-1	
figs-litany_6_4__1	Litany	unable to migrate selection, no match found for check in new resources	ತನ್ನ ಸಂಬಂಧಿಕರ ಮಧ್ಯೆದಲ್ಲಿ ಮತ್ತು ಅವನ ಸ್ವಂತ ಮನೆಯಲ್ಲಿ ಮರ್ಯಾದೆ ಇಲ್ಲದೆ ಇರುವನು.-1	
figs-litany_6_4__1	Litany	unable to migrate selection, no match found for check in new resources	ಸಂಬಂಧಿಕರ-1	
figs-litany_6_4__1	Litany	unable to migrate selection, no match found for check in new resources	ಅವನ ಸ್ವಂತ ಮನೆಯಲ್ಲಿ-1	
figs-litany_6_56__1	Litany	unable to migrate selection, no match found for check in new resources	ಹಳ್ಳಿಗಳಲ್ಲಿ ಅಥವಾ ಪಟ್ಟಣಗಳಲ್ಲಿ ಅಥವಾ ಸೀಮೆಗಳಲ್ಲಿ-1	
figs-litotes_10_29__1	Litotes	unable to migrate selection, no match found for check in new resources	ಯಾರಾಗಲೀ-1 ಬಿಟ್ಟಿಲ್ಲ,-1	
figs-litotes_11_13__1	Litotes	unable to migrate selection, no match found for check in new resources	ಎಲೆಗಳ ಹೊರತು ಏನನ್ನೂ ಕಾಣಲಿಲ್ಲ,-1	
figs-litotes_9_39__1	Litotes	unable to migrate selection, no match found for check in new resources	ಅವನನ್ನು ತಡೆಯಬೇಡಿರಿ-1	
figs-metaphor_12_31__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಎರಡನೆಯದು-1	
figs-metaphor_13_14__1	Metaphor	unable to migrate selection, no match found for check in new resources	ವಿನಾಶದ ಅಸಹ್ಯವು ಇರಬಾರದ ಸ್ಥಳದಲ್ಲಿ-1	
figs-metaphor_14_62__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಆಕಾಶದಲ್ಲಿ ಮೇಘದೊಡನೆ ಬರುವುದನ್ನು-1	
figs-metaphor_15_19__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಮೊಣಕಾಲೂರಿ-1	
figs-metaphor_15_33__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಇಡೀ ಭೂಮಿಯ ತುಂಬ ಕತ್ತಲು ಕವಿದಿತ್ತು.-1	
figs-metaphor_15_42__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಸಾಯಂಕಾಲವಾಗುತ್ತ ಬಂದಿತು-1	
figs-metaphor_1_17__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಮನುಷ್ಯರನ್ನು-1	
figs-metaphor_4_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಇವರೇ,-1	
figs-metaphor_4_16__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಇವುಗಳು-1	
figs-metaphor_4_16__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಬಂಡೆಯ ನೆಲದ ಮೇಲೆ ಬಿತ್ತಲ್ಪಟ್ಟವು-1	
figs-metaphor_4_17__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಅವುಗಳು ಬಿದ್ದು ಹೋಗುವವು.-1	
figs-metaphor_4_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	ಬೇರೆಯವುಗಳು-1	
figs-metonymy_12_26__1	Metonymy	unable to migrate selection, no match found for check in new resources	ಪೊದೆಯಲ್ಲಿ-1	
figs-metonymy_14_55__1	Metonymy	unable to migrate selection, no match found for check in new resources	ಆತನನ್ನು ಮರಣಕ್ಕೆ ಒಪ್ಪಿಸಲು-1	
figs-metonymy_15_1__1	Metonymy	unable to migrate selection, no match found for check in new resources	ಬಂಧಿಸಿ {ಆತನನ್ನು}ಕರೆದುಕೊಂಡು ಹೋದರು-1	
figs-metonymy_15_46__1	Metonymy	unable to migrate selection, no match found for check in new resources	ಆತನನ್ನು ಕೆಳಗೆ ಇಳಿಸಿ, ಅವನು-1 ಕಲ್ಲನ್ನು ಉರುಳಿಸಿದನು-1	
figs-metonymy_4_14__1	Metonymy	unable to migrate selection, no match found for check in new resources	ಬಿತ್ತುವವನು ವಾಕ್ಯವನ್ನು ಬಿತ್ತುವನು.-1	
figs-metonymy_4_14__1	Metonymy	unable to migrate selection, no match found for check in new resources	ವಾಕ್ಯವನ್ನು ಬಿತ್ತುವನು.-1	
figs-metonymy_4_23__1	Metonymy	unable to migrate selection, no match found for check in new resources	"ಯಾರಿಗಾದರೂ ಕೇಳಿಸಿಕೊಳ್ಳಲು ಕಿವಿ ಇದ್ದರೆ, ಅವನು-1	
figs-nominaladj_14_61__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ಆಶೀರ್ವಾದ ಹೊಂದುವಾತನ-1	
figs-parables_4_26__1	Parables	unable to migrate selection, no match found for check in new resources	ಒಬ್ಬ ಮನುಷ್ಯನು ಭೂಮಿಯ ಮೇಲೆ ಬೀಜವನ್ನು ಎಸೆಯಬಹುದು,-1	
figs-parallelism_3_4__1	Parallelism	unable to migrate selection, no match found for check in new resources	ಒಳ್ಳೆಯದು ಮಾಡುವುದು ನ್ಯಾಯವೋ ಅಥವಾ ಹಾನಿ ಮಾಡುವುದೋ; ಒಂದು ಜೀವವನ್ನು ರಕ್ಷಿಸಲೋ, ಅಥವಾ ಕೊಲ್ಲಲೋ-1	
figs-personification_12_29__1	Personification	unable to migrate selection, no match found for check in new resources	ಇಸ್ರಾಯೇಲ್ಯೇ-1	
figs-rquestion_12_35__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	"ಕ್ರಿಸ್ತನು ದಾವೀದನ ಕುಮಾರನು ಎಂದು ಶಾಸ್ತ್ರಿಗಳು ಹೇಳುವುದು ಹೇಗೆ?-1	
figs-rquestion_12_37__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	ಅವನು ಆತನಿಗೆ ಹೇಗೆ ಮಗನಾಗುತ್ತಾನೆ-1	
figs-rquestion_14_41__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	ಇನ್ನೂ ಸಾಕು-1	
figs-rquestion_4_21__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	ಆದ್ದರಿಂದ ಅದನ್ನು ಬುಟ್ಟಿಯ ಕೆಳಗೆ ಅಥವಾ ಹಾಸಿಗೆಯ ಕೆಳಗೆ, ಅದನ್ನು ಇಡಬಹುದೋ-1	
figs-rquestion_6_37__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	ಹೋಗಿ, 200 ದಿನಾರ ರೊಟ್ಟಿಯನ್ನು ಕೊಂಡುಕೊಂಡು ಮತ್ತು {ಅದನ್ನು} ಅವರಿಗೆ ಊಟಕ್ಕೆ ಕೊಡೋಣ?"-1	
figs-rquestion_8_36__1	Rhetorical Question	unable to migrate selection, no match found for check in new resources	ಮನುಷ್ಯನು-1	
guidelines-sonofgodprinciples_14_61__1	Translating Son and Father	unable to migrate selection, no match found for check in new resources	ಆಶೀರ್ವಾದ ಹೊಂದುವಾತನ {ಒಬ್ಬನ}ಮಗನೋ-1	
guidelines-sonofgodprinciples_1_11__1	Translating Son and Father	unable to migrate selection, no match found for check in new resources	ಎಂಬ ಧ್ವನಿಯು ಆಕಾಶದಿಂದ ಬಂದಿತು.-1	
translate-numbers_5_13__1	Numbers	unable to migrate selection, no match found for check in new resources	ಹೊರಗೆ ಬಂದು-1	
translate-numbers_5_42__1	Numbers	unable to migrate selection, no match found for check in new resources	ಮತ್ತು ಕೂಡಲೇ ಚಿಕ್ಕ ಹುಡುಗಿಯು ಮೇಲೆ ಎದ್ದಳು ಮತ್ತು ನಡೆದಾಡುತ್ತಿದ್ದಳು (ಏಕೆಂದರೆ ಆಕೆಯು 12 ವರ್ಷಗಳ ವಯಸ್ಸಿನವಳಾಗಿದ್ದಳು),-1	
translate-numbers_6_6__1	Numbers	unable to migrate selection, no match found for check in new resources	ಮತ್ತು ಬೋಧಿಸಲು ಸುತ್ತಮುತ್ತಲ ಹಳ್ಳಿಗಳಿಗೆ ಆತನು ಹೋಗುತ್ತಿದ್ದನು.-1	
translate-textvariants_6_22__1	Textual Variants	unable to migrate selection, no match found for check in new resources	ಹೆರೋದ್ಯಳ ಮಗಳು ಪ್ರವೇಶಿಸುತ್ತಾ-1	
