Reference	Localized Group	Message	Selections	
figs-abstractnouns_5_20__1	Abstract Nouns	2 duplicate migrations		
figs-explicit_2_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ते खरोखर आमच्याशी संबंधित नव्हते.-1 ते सर्व आमच्याबरोबर कधीच सामील झाले नाहीत.-1	
figs-idiom_4_6__1	Idiom	2 duplicate migrations		
figs-metaphor_2_10__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_27__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_14__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_9__1	Metaphor	2 duplicate migrations		
figs-metaphor_5_20__1	Metaphor	2 duplicate migrations		
figs-metaphor_5_6__1	Metaphor	unable to migrate selection, there are 2 similar checks	पाण्यात पाठवले असे नाही तर येशूचे रक्त त्याच्या शरीरातून वाहत असताना-1	
writing-pronouns_1_5__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	येशू-1	
writing-pronouns_2_27__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	येशूकडून-1	
