Reference	Localized Group	Message	Selections	
figs-abstractnoun_7_15__1	figs-abstractnoun	unable to migrate selection, no match found for check in new resources	શાંતિ-1	
figs-abstractnoun_7_9__1	figs-abstractnoun	unable to migrate selection, no match found for check in new resources	તેઓ પોતે સંયમ ન રાખી શકે-1	
figs-abstractnouns_4_20__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	બોલવામાં નથી-1	
figs-activepassive_11_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	માંથે ઓઢવું ઘટતું નથી-1	
figs-activepassive_11_8__1	Active or Passive	unable to migrate selection, no match found for check in new resources	કેમ કે પુરુષ સ્ત્રીથી નથી, પણ સ્ત્રી પુરુષથી {છે}.-1	
figs-activepassive_12_8__1	Active or Passive	unable to migrate selection, no match found for check in new resources	આપવામાં આવેલી છે-1	
figs-activepassive_14_25__1	Active or Passive	unable to migrate selection, no match found for check in new resources	તેના હૃદયની ગુપ્ત વાતો પ્રગટ થાય છે-1	
figs-activepassive_14_31__3	Active or Passive	unable to migrate selection, no match found for check in new resources	સર્વ પ્રોત્સાહન પામે-1	
figs-activepassive_15_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	અમે-1 ઠરીએ છીએ-1	
figs-activepassive_1_2__1	Active or Passive	unable to migrate selection, no match found for check in new resources	સંતો {થવાને} તેડવામાં આવેલા છે-1	
figs-activepassive_2_5__1	Active or Passive	unable to migrate selection, no match found for check in new resources	તમારા વિશ્વાસ-1 નહિ-1	
figs-activepassive_3_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	કામ-1	
figs-activepassive_8_11__1	Active or Passive	unable to migrate selection, no match found for check in new resources	નિર્બળ ભાઈ-1	
figs-doublenegatives_10_13__1	Double Negatives	unable to migrate selection, no match found for check in new resources	માણસ સહન ન કરી શકે એવું પરીક્ષણ તમને થયું નથી-1	
figs-doublenegatives_11_11__1	Double Negatives	unable to migrate selection, no match found for check in new resources	પ્રભુમાં, સ્ત્રી પુરુષ વગર {નથી}, તેમ જ પુરુષ પણ સ્ત્રી વગર {નથી}.-1	
figs-doublenegatives_12_1__1	Double Negatives	unable to migrate selection, no match found for check in new resources	તમે અજાણ્યા રહો એ મારી ઈચ્છા નથી.-1	
figs-doublenegatives_14_10__1	Double Negatives	unable to migrate selection, no match found for check in new resources	કોઈ પણ અર્થ વગરની {નથી-1	
figs-doublenegatives_14_22__1	Double Negatives	unable to migrate selection, no match found for check in new resources	ભાષાઓ વિશ્વાસીઓને નહિ, પણ અવિશ્વાસીઓને ચિહ્નરૂપ છે-1	
figs-doublenegatives_9_26__1	Double Negatives	unable to migrate selection, no match found for check in new resources	હું એવી રીતે દોડું છું, પણ સંશય રાખનારની પેઠે નહિ; હું મુક્કીઓ મારું છું, પણ પવનને મારનારની પેઠે નહિ.-1	
figs-doublenegatives_9_26__1	Double Negatives	unable to migrate selection, no match found for check in new resources	સંશય રાખનારની પેઠે નહિ-1	
figs-ellipsis_10_19__1	Ellipsis	unable to migrate selection, no match found for check in new resources	કે મૂર્તિનું નૈવેદ કંઈ છે, અથવા મૂર્તિ કંઈ છે?-1	
