Reference	Localized Group	Message	Selections	
bita-hq_1_21__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	प्राणी के-1 लोग श्रद्धा रखते हैं-1	
bita-hq_1_22__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	सब कुछ के ऊपर शासक-1	
bita-hq_1_23__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	मसीह से-1 वैसे ही जैसे एक व्यक्ति के शरीर का भाग उसके सिर से संबंधित होता है-1	
bita-hq_2_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	एक समूह के रूप में-1	
bita-hq_3_17__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	मैं प्रार्थना करता हूँ कि मसीह उतना ही अधिक तुम्हारे निकट वास करे जितना कि तुम्हारा मन है क्योंकि तुम उस में भरोसा करते हो-1	
bita-hq_3_6__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	परमेश्वर के लोगों के एक ही समूह से संबंधित हैं-1	
bita-hq_4_12__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	लोग जो मसीह के हैं-1	
bita-hq_4_15__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	मसीह के जैसे-1 जैसा कि-1 हमें निर्देशित करता है, ठीक वैसे ही जैसे एक व्यक्ति का सिर उस व्यक्ति के शरीर को निर्देशित करता है-1	
bita-hq_4_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	एक दूसरे की सहायता कैसे करें और एक समन्वित तरीके से कैसे काम करें-1	
bita-hq_4_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	यह वही है जो हम सभी को-1 उसके शरीर-1 हम एक साथ आगे बढ़ेंगे और-1 बनाएंगे-1	
bita-hq_4_25__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	हम एक-दूसरे के साथ परमेश्वर के परिवार के सदस्य के रूप में हैं-1	
bita-hq_4_4__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	परमेश्वर के पास केवल विश्वासियों का एक ही परिवार-1	
bita-hq_5_19__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	अपने मन की गहराई से-1 गंभीर प्रशंसा के रूप में आने दो-1	
bita-hq_5_20__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	उन बातों के कारण धन्यवाद दो जिन्हें प्रभु यीशु मसीह ने तुम्हारे लिए किया है-1	
bita-hq_6_22__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	मैं चाहता हूंँ कि वह तुम्हें सांत्वना और उत्साह दे-1	
bita-hq_6_5__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	और ईमानदारी से-1	
figs-inclusive_1_5__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	उसने बहुत पहले ही-1 हमें गोद लेने का निर्णय लिया-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	यहूदियों और गैर-यहूदियों-1 एक-दूसरे के साथ शांति से रहना-1	
figs-inclusive_2_18__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	क्योंकि यीशु ने हमारे लिए जो कुछ किया, उसके कारण यहूदी और गैर-यहूदी, अब-1 आ सकते हैं-1	
