Reference	Localized Group	Message	Selections	
figs-activepassive_22_22__1	Active or Passive	unable to migrate selection, there are 2 similar checks	उसके अनुसार-1 जैसा निर्धारित किया गया है-1	
figs-explicit_18_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	उस दूसरे के-1 यही मनुष्य धर्मी ठहरकर अपने घर को गया-1	
figs-metaphor_20_18__1	Metaphor	unable to migrate selection, there are 2 similar checks	जो कोई उस पत्थर पर गिरेगा वह टुकड़े-टुकड़े हो जाएगा-1	
figs-nominaladj_13_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	आने वाले वर्ष में-1	
figs-nominaladj_15_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	खोई हुई-1	
figs-nominaladj_17_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	जिसकी आज्ञा तुम्हें दी गई थी-1	
figs-nominaladj_17_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	आदेश दिए गए कामों को-1	
figs-nominaladj_19_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	खोए हुओं को-1	
figs-nominaladj_23_47__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	जो कुछ हुआ था उसे देखकर-1	
figs-nominaladj_23_48__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	जो कुछ हुआ था उसे देखकर-1	
figs-nominaladj_24_18__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	जो कुछ हुआ है-1	
figs-nominaladj_24_44__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	मेरे विषय में जितनी बातें लिखी हुई हैं-1	
translate-symaction_18_13__1	Symbolic Action	unable to migrate selection, there are 2 similar checks	परन्तु उस चुंगी लेनेवाले ने, दूर खड़े होकर-1	
