Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	కృప మరియు సమాధానము మీకు విస్తరిల్లుతుంది.-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	దేవుని శక్తిచేత కాపాడబడు-1	
figs-abstractnouns_4_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	మేలు చేయుటలో-1	
figs-activepassive_1_13__1	Active or Passive	unable to migrate selection, no match found for check in new resources	క్రీస్తు యొక్క ప్రత్యక్షతలో-1	
figs-activepassive_1_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	యేసు క్రీస్తు ప్రత్యక్షత వద్ద-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	మీరు సహించిన యెడల మీకేమి ఘనము {ఉంటుంది}-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	“ఇల్లు కట్టువారు తృణీకరించిన రాయి-1	
figs-doublet_3_4__1	Doublet	unable to migrate selection, no match found for check in new resources	హృదయము యొక్క దాచబడిన మనిషి-1	
figs-euphemism_4_6__1	Euphemism	unable to migrate selection, no match found for check in new resources	వారు శరీరములో మానవుల ప్రకారం తీర్పుతీర్చ బడతారు-1	
figs-explicit_2_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	దర్శించే దినములో-1	
figs-explicit_3_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ఆశీర్వాదమును-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	నిబ్బరమైన బుద్ధిగలవారై-1	
figs-idiom_4_7__1	Idiom	unable to migrate selection, no match found for check in new resources	నిబ్బరమైన బుద్ధిగలవారై-1	
figs-idiom_5_8__1	Idiom	unable to migrate selection, no match found for check in new resources	నిబ్బరమైన బుద్ధిగలవారై-1	
figs-metaphor_1_20__1	Metaphor	unable to migrate selection, no match found for check in new resources	మీ కోసం-1 ఆయన ప్రత్యక్ష పరచబడెను-1	
figs-metaphor_1_4__1	Metaphor	unable to migrate selection, no match found for check in new resources	నిర్మలమైనది-1 వాడబారని స్వాస్థ్యము-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	శరీర ఆశల నుండి దూరంగా ఉండడానికి మిమ్మును నేను హెచ్చరించు చున్నాను, అ-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	విరోధముగా యుద్ధం చేయుచున్నాయి.-1	
figs-metaphor_2_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	క్రొత్తగా జన్మించిన శిశువుల వలే, నిర్మలమైన హేతుబద్ధమైన వాక్యము కోసం అపేక్షించుడి-1	
figs-metaphor_2_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	, ప్రశస్తమైనది-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	ప్రభువు యొక్క ముఖము కీడుచేయు వారికి విరోధముగా {ఉన్నది}-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	దేవుని యొద్దకు తీసుకు రావడానికి,-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	శరీరవిషయములో చంపబడియు-1	
figs-metaphor_3_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	ఆమెకు పిల్లలగుదురు.-1	
figs-metaphor_4_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	ప్రేమ అనేక పాపములను కప్పును;-1	
figs-metaphor_5_10__1	Metaphor	unable to migrate selection, no match found for check in new resources	మిమ్మును-2 బలపరచును, {మరియు} స్థిరపరచును.-1	
figs-metaphor_5_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	దీనిలో నిలిచి యుండండి.-1	
figs-metaphor_5_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	దేవుని మందను కాయుడి-1	
figs-metonymy_1_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	సర్వశరీరులు గడ్డిని పోలినవారై {ఉన్నారు}-1 గడ్డి ఎండి పోవును,-1	
figs-metonymy_2_11__1	Metonymy	unable to migrate selection, no match found for check in new resources	{మీ} ఆత్మకు-1	
figs-metonymy_2_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	చెట్టు మీద తన శరీరములో మన పాపములను మోసాడు-1	
figs-metonymy_2_5__1	Metonymy	unable to migrate selection, no match found for check in new resources	ఆత్మ సంబంధమైన బలులను అర్పించడానికి పరిశుద్ధ యాజకుల-1	
figs-metonymy_3_10__1	Metonymy	unable to migrate selection, no match found for check in new resources	మంచి దినములు-1	
figs-metonymy_3_4__1	Metonymy	unable to migrate selection, no match found for check in new resources	హృదయము యొక్క దాచబడిన మనిషి-1	
figs-metonymy_5_1__1	Metonymy	unable to migrate selection, no match found for check in new resources	బయలుపరచబడబోవు మహిమలో-1	
