Reference	Localized Group	Message	Selections	
 grammar-connect-logic-result_2_2__1	 grammar-connect-logic-result	unable to migrate selection, no match found for check in new resources	ଯେଉଁମାନଙ୍କ ହେତୁରୁ-1	
figs-abstractnouns_1_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଏହି ବିଷୟଗୁଡ଼ିକର-1 ତୁମ୍ଭମାନଙ୍କ ସ୍ମରଣ କରାଇବାର କାରଣ ହେବା ପାଇଁ-1	
figs-abstractnouns_1_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେ ପିତା ଈଶ୍ବରଙ୍କଠାରୁ ସମ୍ଭ୍ରମ ଓ ଗୌରବ ପ୍ରାପ୍ତ କଲେ-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେମାନଙ୍କ ନିକଟକୁ ଯେଉଁମାନେ-1 ଆମ୍ଭ ସହିତ ସମାନ ମୂଲ୍ୟଯୁକ୍ତ ବିଶ୍ୱାସ ପ୍ରାପ୍ତ ହୋଇଛନ୍ତି-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ ଐଶ୍ବରିକ ଶକ୍ତି-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଧର୍ମପରାୟଣତା-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଯେ-1 ଆମ୍ଭମାନଙ୍କୁ ଆହ୍ବାନ କରିଛନ୍ତି ସେହି ବ୍ୟକ୍ତିଙ୍କ ଜ୍ଞାନ ଦ୍ବାରା-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଆପଣା ଗୌରବ ଓ ମହିମା ଦ୍ବାରା-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେ ଆମ୍ଭମାନଙ୍କୁ ମୂଲ୍ଯବାନ ଓ ମହାନ ପ୍ରତିଜ୍ଞାମାନ ପ୍ରଦାନ କରିଅଛନ୍ତି-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଧର୍ମପରାୟଣତା-1	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଏଥିରେ ଥିବା ଅପବିତ୍ରତାର ଅଭିଳାଷ-1	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଅଧାର୍ମିକତାର-1	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସୁଖ-1	
figs-abstractnouns_2_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେମାନଙ୍କ ଛଳନାରେ ଆମୋଦ କରନ୍ତି-1	
figs-abstractnouns_2_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଯିଏ ଅଧର୍ମର ବେତନ ଭଲ ପାଇଲା-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଭାବବାଦୀର ଉନ୍ମତ୍ତତା-1	
figs-abstractnouns_2_20__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଜଗତର ଅଶୁଚିତାରୁ-1	
figs-abstractnouns_2_21__2	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ପବିତ୍ର ଅଜ୍ଞାସମୁହରୁ-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	କାମୁକତାରେ ବ୍ୟବସ୍ଥାବିହିନ ଲୋକମାନଙ୍କ ଆଚରଣ-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ତ୍ରାଣକର୍ତ୍ତା-1	
figs-activepassive_2_19__1	Active or Passive	unable to migrate selection, no match found for check in new resources	କାରଣ ଯାହା ଦ୍ଵାରା ଜଣେ ପରାଜିତ ହୁଏ, ତାହା ଦ୍ଵାରା ସେ ଦାସ ହୋଇଅଛି-1	
figs-activepassive_3_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ମୌଳିକ ବସ୍ତୁସବୁ-1 ତରଳିଯିବ-1	
