Reference	Localized Group	Message	Selections	
figs-abstractnoun_7_15__1	figs-abstractnoun	unable to migrate selection, no match found for check in new resources	શાંતિપ્રિય લોકો બનીએ-1	
figs-abstractnoun_7_9__1	figs-abstractnoun	unable to migrate selection, no match found for check in new resources	કેટલાક લોકો કેવી રીતે જાતીય સંબંધ કરવાની ઈચ્છા ધરાવે છે તેને નિયંત્રિત કરવા માટે સંઘર્ષ અનુભવશે-1	
figs-abstractnouns_4_20__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ઈશ્વર લોકો દ્વારા શક્તિશાળી રીતે કાર્ય કરે છે તે રીતે-1 કાર્યરત છે, લોકો મહાન વાતો કહે તે દ્વારા-1	
figs-activepassive_11_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	માથાને ઢાંકવું જોઈએ નહિ-1	
figs-activepassive_11_8__1	Active or Passive	unable to migrate selection, no match found for check in new resources	તમે કહી શકો છો કે આ સાચું છે} કારણ કે ઈશ્વરે આદમને સ્ત્રી હવામાંથી બનાવ્યો નથી. તેના બદલે, તેમણે પુરુષ આદમમાંથી સ્ત્રી હવાને બનાવી-1	
figs-activepassive_12_8__1	Active or Passive	unable to migrate selection, no match found for check in new resources	શક્તિ આપે છે-1	
figs-activepassive_14_25__1	Active or Passive	unable to migrate selection, no match found for check in new resources	આ રીતે,} આ {મુલાકાતીઓ} બીજાથી જે છુપાવે છે તેની ખબર દરેકને થશે-1	
figs-activepassive_14_31__3	Active or Passive	unable to migrate selection, no match found for check in new resources	દરેક વ્યક્તિ-1 મજબૂત બને છે-1	
figs-activepassive_15_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	અમે એવા-1 હોઈશું-1	
figs-activepassive_1_2__1	Active or Passive	unable to migrate selection, no match found for check in new resources	અને {તેમણે તમને} તેમના પોતાના લોકો થવા માટે પસંદ {કર્યા છે-1	
figs-activepassive_2_5__1	Active or Passive	unable to migrate selection, no match found for check in new resources	તમે {ઈશ્વરમાં} ભરોસો રાખો-1 એટલા માટે નહિ કે મનુષ્યોએ {તમને} વિદ્વતાપૂર્ણ શબ્દો કહ્યા-1	
figs-activepassive_3_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	કે જેણે એક ઘરનું નિર્માણ કર્યું, જે આગમાં ખાક થઇ ગયું તે-1	
figs-activepassive_8_11__1	Active or Passive	unable to migrate selection, no match found for check in new resources	અન્ય લોકોને-1 જેઓ સાચું અને ખોટું શું છે તે અધૂરી રીતે સમજે છે-1	
figs-doublenegatives_10_13__1	Double Negatives	unable to migrate selection, no match found for check in new resources	તમને જે લલચાવે છે એવી બાબતોનો અનુભવ અન્ય લોકોએ કર્યો છે-1	
figs-doublenegatives_11_11__1	Double Negatives	unable to migrate selection, no match found for check in new resources	જ્યારે ઈશ્વર લોકોને ખ્રિસ્ત સાથે જોડે છે, ત્યારે સ્ત્રીઓ પુરુષો વિના અસ્તિત્વમાં નથી, અને પુરુષો સ્ત્રીઓ વિના અસ્તિત્વમાં નથી-1	
figs-doublenegatives_12_1__1	Double Negatives	unable to migrate selection, no match found for check in new resources	આ બાબતો વિષે હું તમને જાણ કરવા માંગુ છું-1	
figs-doublenegatives_14_10__1	Double Negatives	unable to migrate selection, no match found for check in new resources	તેમાંથી દરેક સ્પષ્ટ રીતે વાતચીત કરે છે-1	
figs-doublenegatives_14_22__1	Double Negatives	unable to migrate selection, no match found for check in new resources	જેઓ {ખ્રિસ્તમાં} વિશ્વાસ કરતા નથી, એવા લોકોનો નહિ જેઓ {ખ્રિસ્તમાં} વિશ્વાસ કરે છે-1	
figs-doublenegatives_9_26__1	Double Negatives	unable to migrate selection, no match found for check in new resources	હું એક દોડવીર જેવો છું જે સીધો અંતિમ રેખા તરફ દોડે છે. હું એવા મુક્કાબાજ જેવો છું જે ચૂક્યા વગર પ્રતિસ્પર્ધી પર પ્રહાર કરે છે-1	
figs-doublenegatives_9_26__1	Double Negatives	unable to migrate selection, no match found for check in new resources	જે સીધો અંતિમ રેખા તરફ દોડે છે-1	
figs-ellipsis_10_19__1	Ellipsis	unable to migrate selection, no match found for check in new resources	કે કોઈએ બીજા દેવને અને અન્ય દેવતાઓને અર્પણ કરેલ માંસ શક્તિશાળી અથવા મહત્વપૂર્ણ નથી-1	
