Reference	Localized Group	Message	Selections	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	ज्यांना-1 प्राप्त झाला आहे-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ज्यांना-1 आपल्या बरोबरीचा विश्वास प्राप्त झाला आहे:-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	भ्रष्टतेतून-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	ज्ञान,-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	सुभक्ती,-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	धीर-1 धीरात-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	बंधुप्रेम-1 बंधुप्रेमात-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	त्याने-1 फटकारले-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	दुराचार्‍यांचे, कामतुरपणाचे वागणे पाहून त्रस्त झालेला होता,-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	प्रभु आणि तारणहार याच्या आज्ञेची-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, there are 2 similar checks	सुष्टीतत्वे जळून नष्ट होतील-1	
figs-activepassive_3_5__1	Active or Passive	unable to migrate selection, there are 2 similar checks	पृथ्वी-1 देवाच्या शब्दाने निर्माण झाली.-1	
figs-activepassive_3_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	सध्याचे आकाश आणि पृथ्वी, त्याच शब्दाने, अग्नीसाठी राखून ठेवण्यात आले आहेत,-1	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	त्याने-1 फटकारले-1	
figs-metaphor_1_13__1	Metaphor	unable to migrate selection, there are 2 similar checks	जोपर्यंत मी या मंडपात आहे-1	
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	जर,-1 जगाच्या अशुद्धतेपासून सुटका केल्यावर-1	
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	यासाठी की, तुम्ही-1 स्वतःची स्थिरता गमावू नये.-1	
figs-metaphor_3_1__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुमच्या शुद्ध बुध्दीला-1	
writing-pronouns_1_17__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	माझा-1 माझा प्रिय आहे-1 स्वतः-1	
writing-pronouns_1_4__1	Pronouns — When to Use Them	unable to migrate selection, there are 3 similar checks	त्या-2	
writing-pronouns_2_2__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	त्यांच्यामुळे-1	
