Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मी प्रार्थना करतो की} देव तुमच्या प्रती त्याची प्रेमळ कृत्ये वाढवो आणि तुम्हाला विपुल शांती देवो-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	देवाचे सामर्थ्य-1	
figs-abstractnouns_4_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जे चांगले आहे ते करत रहावे.-1	
figs-activepassive_1_13__1	Active or Passive	unable to migrate selection, no match found for check in new resources	येशू मसीह जेव्हा {परत येईल आणि-1	
figs-activepassive_1_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	येशू मसीह जेव्हा-1 परत येईल-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	जर तुम्ही जे चांगले आहे ते केले असले तरीही तुम्हाला त्रास सहन करावा लागतो.-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ते बांधकाम करणाऱ्या सारखे आहेत. {ज्यांच्याविषयी कोणीतरी स्तोत्रांत लिहिले}: "बांधणाऱ्यानी नापसंत केलेला धोंडा हा-1	
figs-doublet_3_4__1	Doublet	unable to migrate selection, no match found for check in new resources	तुमच्या न पाहता येणाऱ्या मनाला अशा प्रकारे सुंदर बनवा-1	
figs-explicit_2_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	जेव्हा तो प्रत्येकाचा न्याय करण्यासाठी येईल.-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तुम्ही आत्मिकरीत्या प्रौढ होऊ शकाल. देव तुम्हाला पूर्णपणे (या पापी जगातून) वाचवे पर्यंत {तुम्ही हे केले पाहिजे}.-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	सर्वात महत्त्वाच्या धोंड्यासारखा कोणीतरी ठेवत आहे. मी त्याला निवडले आहे. तो खूप मूल्यवान आहे.-1	
figs-explicit_3_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	त्यांना आशीर्वाद द्या-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	सावध राहा.-1	
figs-idiom_4_7__1	Idiom	unable to migrate selection, no match found for check in new resources	स्पष्टपणे-1	
figs-idiom_5_8__1	Idiom	unable to migrate selection, no match found for check in new resources	स्पष्टपणे विचार करा-1	
figs-metaphor_1_20__1	Metaphor	unable to migrate selection, no match found for check in new resources	देवाने त्याला तुमच्यासमोर प्रकट केले.-1	
figs-metaphor_1_4__1	Metaphor	unable to migrate selection, no match found for check in new resources	जे अविनाशी, निर्मळ किंवा अक्षय वतन-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	ज्या गोष्टी तुमच्या पापी मानवी स्वभाव करु इच्छितो त्या करू नका-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	तुमचा नाश करतील.-1	
figs-metaphor_2_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	ज्याप्रमाणे नूतन जन्मलेल्या बालकांना आपल्या आईच्या निऱ्या दुधाची तीव्र इच्छा असते, त्याप्रमाणे तुम्हीही देवाबद्दलच्या खऱ्या गोष्टी शिकण्याची तीव्र इच्छा बाळगली पाहिजे यासाठी की त्या-1	
figs-metaphor_2_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	{जे देव बोलला} ते शास्त्रलेखात {यशयाने} लिहिले आहे-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	कारण परमेश्वर नीतिमान लोकांवर लक्ष ठेवतो-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	तो विरोध करतो."-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	तो मरण पावला-1 तुम्हाला देवासोबत राहता यावे म्हणून-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	लोकांनी त्याला जीवे मारले-1	
figs-metaphor_3_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	तर देव तुम्हाला तिच्या मुली म्हणेल.-1	
figs-metaphor_4_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	जर तुम्ही इतरांवर प्रीती करत असाल, तर {ते तुमच्याविरुद्ध करणाऱ्या} अशा पुष्कळ पापांबद्दल तुम्ही त्यांना क्षमा कराल-1	
figs-metaphor_5_10__1	Metaphor	unable to migrate selection, no match found for check in new resources	तुम्हाला सर्व प्रकारे पूर्णपणे सबळ करील.-1	
figs-metaphor_5_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	सातत्याने या संदेशावर दृढ विश्वास ठेवा !-1	
figs-metaphor_5_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	{ तुम्ही वडिलांनो}, जणू काही तुम्ही मेंढपाळ आहात जे त्यांच्या मेंढरांच्या कळपांची काळजी घेतात त्याप्रकारे-1	
figs-metonymy_1_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	"सर्व लोक गवतासारखे-1 ज्याप्रमाणे गवत सुकते-1	
figs-metonymy_2_11__1	Metonymy	unable to migrate selection, no match found for check in new resources	तुमचा-1	
figs-metonymy_2_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	आपल्या पापांची शिक्षा-1 त्याच्या शरीरामध्ये {जेव्हा तो मरण पावला तेव्हा-1	
figs-metonymy_2_5__1	Metonymy	unable to migrate selection, no match found for check in new resources	आत्मिक कृत्ये करण्याकरता त्याने वेगळे केलेल्या याजकांसारखे-1	
figs-metonymy_3_10__1	Metonymy	unable to migrate selection, no match found for check in new resources	ज्यांना खरोखरच चांगल्या जीवनाचा आनंद घ्यायचा आहे-1	
figs-metonymy_3_4__1	Metonymy	unable to migrate selection, no match found for check in new resources	तुमच्या न पाहता येणाऱ्या मनाला अशा प्रकारे सुंदर बनवा-1	
figs-metonymy_5_1__1	Metonymy	unable to migrate selection, no match found for check in new resources	देव लवकरच प्रकट करणाऱ्या गौरवाचा वाटेकरी-1	
figs-parallelism_3_10__1	Parallelism	unable to migrate selection, no match found for check in new resources	त्यांनी वाईट गोष्टी बोलू नयेत किंवा फसवणाऱ्या गोष्टी बोलू नयेत.-1	
figs-parallelism_4_14__1	Parallelism	unable to migrate selection, no match found for check in new resources	तुमचे दु:ख} हे दर्शवते की, जो आत्मा देव किती महान आहे हे प्रकट करतो,-1	
figs-parallelism_4_7__1	Parallelism	unable to migrate selection, no match found for check in new resources	समंजसपणे आणि स्पष्टपणे विचार करा.-1	
figs-personification_3_20__1	Personification	unable to migrate selection, no match found for check in new resources	लोक जे वाईट आहे ते करण्याचे थांबवतात का नाही हे पाहत} देवाने धीराने वाट पाहिली-1	
figs-personification_4_8__1	Personification	unable to migrate selection, no match found for check in new resources	कारण जर तुम्ही इतरांवर प्रीती करत असाल, तर {ते तुमच्याविरुद्ध करणाऱ्या} अशा पुष्कळ पापांबद्दल तुम्ही त्यांना क्षमा कराल.-1	
figs-synecdoche_3_12__1	Synecdoche	unable to migrate selection, no match found for check in new resources	परमेश्वर नीतिमान लोकांवर लक्ष ठेवतो.-1	
figs-synecdoche_3_12__1	Synecdoche	unable to migrate selection, no match found for check in new resources	तो नीतिमान लोकांच्या प्रार्थना ऐकतो-1 पण जे लोक-1 वागतात त्यांना तो विरोध करतो."-1	
grammar-connect-logic-result_3_7__1	Connect — Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	{हे करा} म्हणजे-1 होणार नाही.-1	
