Reference	Localized Group	Message	Selections	
bita-hq_1_21__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	नाम-1	
bita-hq_1_22__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	सभी चीजों के ऊपर सिर-1	
bita-hq_1_23__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	उसका शरीर-1	
bita-hq_2_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	एक देह-1	
bita-hq_3_17__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	कि मसीह विश्वास के माध्यम से तुम्हारे मनों में रहे-1	
bita-hq_3_6__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	देह के साथी सदस्य-1	
bita-hq_4_12__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	मसीह की देह के-1 के-5	
bita-hq_4_15__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	उसमें-1 जो सिर-1 है-1	
bita-hq_4_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	जिससे पूरी देह-1 देह के बढ़ने का कारण बनती है-1	
bita-hq_4_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	प्रत्येक सहायक जोड़-1	
bita-hq_4_25__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	हम एक दूसरे के सदस्य हैं-1	
bita-hq_4_4__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	एक देह-1	
bita-hq_5_19__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	अपने मन में-1	
bita-hq_5_20__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	हमारे प्रभु यीशु मसीह के नाम में-1	
bita-hq_5_23__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	पत्नी का सिर-1 कलीसिया का सिर-1	
bita-hq_5_23__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	देह का-1	
bita-hq_5_30__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	हम उसकी देह के सदस्य हैं-1	
bita-hq_6_22__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	तुम्हारे मन उत्साहित हो सके-1	
bita-hq_6_5__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	मन की ईमानदारी में-1	
figs-inclusive_1_5__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	उसने हमें-1 गोद लेने के लिए पूर्वनिर्धारित किया-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारी शान्ति-1	
figs-inclusive_2_18__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	क्योंकि उसके-1 हम दोनों की पहुँच-1 है-1	
