Reference	Localized Group	Message	Selections	
figs-activepassive_1_26__1	Active or Passive	unable to migrate selection, there are 2 similar checks	जे रहस्य गुप्त ठेवले होते,-1	
figs-activepassive_2_12__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तुम्ही-2 उठवले गेला,-1	
figs-activepassive_2_12__1	Active or Passive	unable to migrate selection, there are 2 similar checks	त्याच्याबरोबर तुम्ही बाप्तिस्म्यात पुरले गेला-1	
figs-activepassive_3_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	, देवाचे निवडलेले, पवित्र आणि प्रिय म्हणून,-1	
figs-explicit_1_28__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ह्यासाठी की, आम्ही प्रत्येक मनुष्याला-1 सादर करावे.-1	
figs-explicit_3_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	परंतु ख्रिस्त सर्व आहे व सर्वांत आहे.-1	
figs-idiom_2_7__1	Idiom	unable to migrate selection, no match found for check in new resources	त्याच्यात मुळावलेले-1 त्याच्यावर उभारलेले-1 विश्वासात स्थिरावलेले-1 उपकारस्मरण करीत, त्यात वाढत जा.-1	
figs-idiom_3_1__1	Idiom	unable to migrate selection, there are 2 similar checks	तुम्ही ख्रिस्ताबरोबर उठला आहा-1	
figs-idiom_3_1__1	Idiom	unable to migrate selection, there are 2 similar checks	मग जर-1	
figs-metaphor_1_10__1	Metaphor	unable to migrate selection, there are 2 similar checks	प्रभूला सर्व प्रकारे संतोष देण्यास प्र-1	
figs-metaphor_1_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	सर्व धीर-1 सहनशीलता-1	
figs-metaphor_1_12__1	Metaphor	2 duplicate migrations		
figs-metaphor_1_14__1	Metaphor	unable to migrate selection, no match found for check in new resources	ज्याच्या मध्ये-1	
figs-metaphor_1_22__1	Metaphor	2 duplicate migrations		
figs-metaphor_1_24__1	Metaphor	unable to migrate selection, there are 2 similar checks	त्याच्या शरिराकरता जे-1 त्याचे शरीर मंडळी आहे.-1	
figs-metaphor_1_24__1	Metaphor	unable to migrate selection, there are 2 similar checks	देहात मी पुरे करीत आहे.-1	
figs-metaphor_1_25__1	Metaphor	unable to migrate selection, no match found for check in new resources	देवाचे वचन पूर्ण करण्यासाठी-1	
figs-metaphor_1_28__1	Metaphor	unable to migrate selection, no match found for check in new resources	पुर्ण-1	
figs-metaphor_1_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	आत्म्यातील तुमच्या प्रीतीविषयी त्या-1	
figs-metaphor_2_10__1	Metaphor	unable to migrate selection, there are 2 similar checks	त्याच्यामध्ये भरलेले आहात,-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	हातांनी-1 केलेल्या सुंनतेने-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	तुमचीही त्याच्यात सुंता झाली आहे.-1	
figs-metaphor_2_12__1	Metaphor	unable to migrate selection, there are 2 similar checks	त्याच्याबरोबर तुम्ही बाप्तिस्म्यात पुरले गेला-1	
figs-metaphor_2_13__1	Metaphor	unable to migrate selection, there are 3 similar checks	मेलेले होता-1	
figs-metaphor_2_14__1	Metaphor	unable to migrate selection, there are 3 similar checks	जो नियमांचा हस्तलेख आपल्या-1 होता तो त्याने खोडला-1	
figs-metaphor_2_18__1	Metaphor	unable to migrate selection, there are 3 similar checks	कोणीही-1 तुमचे बक्षीस हिरावून घेऊ नये-1	
figs-metaphor_2_18__1	Metaphor	unable to migrate selection, there are 3 similar checks	त्याच्या देहबुद्धीच्या मनाने-1	
figs-metaphor_2_19__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	म्हणून जगाच्या मूलतत्त्वांना तुम्ही ख्रिस्ताबरोबर मेला आहात,-1	
figs-metaphor_2_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	उपकारस्मरण करीत-1	
figs-metaphor_2_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	मुळावलेले-1	
figs-metaphor_2_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	उपकारस्मरण करीत-1	
figs-metaphor_2_8__1	Metaphor	unable to migrate selection, there are 2 similar checks	पोकळ फसवेपणाने-1	
figs-metaphor_3_14__1	Metaphor	unable to migrate selection, there are 2 similar checks	प्रीती परिधान करा; ती पूर्ण करणारे बंधन आहे.-1	
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, no match found for check in new resources	त्याच्या-1	
figs-metaphor_3_24__1	Metaphor	unable to migrate selection, no match found for check in new resources	वतन-1	
figs-metaphor_3_3__1	Metaphor	unable to migrate selection, there are 2 similar checks	देवाच्या ठायी तुमचे जीवन ख्रिस्तात गुप्त ठेवलेले आहे.-1	
figs-metaphor_3_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुम्ही त्यांमध्ये रहात होता-1 चालत होता.-1	
figs-metaphor_4_5__1	Metaphor	unable to migrate selection, there are 2 similar checks	काळाचा सदुपयोग करून-1	
figs-metaphor_4_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	त्याने तुमच्या अंतःकरणाला उत्तेजन द्यावे.-1	
figs-metonymy_1_23__1	Metonymy	unable to migrate selection, no match found for check in new resources	मी पौल तिचा सेवक झालो आहे.-1	
figs-metonymy_1_5__1	Metonymy	unable to migrate selection, there are 2 similar checks	कारण तुमच्यासाठी स्वर्गात आशा ठेवलेली आहे-1	
figs-metonymy_2_18__1	Metonymy	unable to migrate selection, no match found for check in new resources	खोट्या विनम्रतेने-1	
figs-metonymy_2_20__1	Metonymy	unable to migrate selection, no match found for check in new resources	जगाच्या-1	
figs-metonymy_2_5__1	Metonymy	unable to migrate selection, no match found for check in new resources	मी देहाने दूर असलो-1	
figs-metonymy_3_10__1	Metonymy	unable to migrate selection, no match found for check in new resources	प्रतिरूपानुसार-1	
figs-metonymy_3_11__1	Metonymy	unable to migrate selection, no match found for check in new resources	हेल्लेणी किवा यहुदी नाही, सुंता झालेले किवा बेसुनत, बर्बर किवा स्कुथी, दास किवा स्वतंत्र नाही,-1	
figs-metonymy_3_15__1	Metonymy	2 duplicate migrations		
figs-metonymy_3_16__1	Metonymy	unable to migrate selection, there are 2 similar checks	गीते गाऊन, अंतःकरणात स्तुती करून-1	
figs-metonymy_3_16__1	Metonymy	unable to migrate selection, there are 2 similar checks	ख्रिस्ताचे वचन तुमच्यात-1 राहो.-1	
figs-metonymy_3_17__1	Metonymy	unable to migrate selection, no match found for check in new resources	प्रभू येशूच्या नावाने-1	
figs-metonymy_3_4__1	Metonymy	unable to migrate selection, no match found for check in new resources	आपले जीवन-1	
figs-metonymy_3_8__1	Metonymy	unable to migrate selection, no match found for check in new resources	तुमच्या मुखातील-1	
figs-metonymy_4_18__1	Metonymy	2 duplicate migrations		
figs-metonymy_4_3__1	Metonymy	unable to migrate selection, there are 2 similar checks	ज्या-1 मी बेड्यांतही पडलो आहे-1	
figs-parallelism_1_22__1	Parallelism	unable to migrate selection, no match found for check in new resources	दृष्टीपुढे-1 निष्कलंक व निर्दोष-1	
figs-pastforfuture_3_1__1	Predictive Past	unable to migrate selection, no match found for check in new resources	तुम्ही ख्रिस्ताबरोबर उठला आहा-1	
figs-pronouns_2_2__1	Pronouns	unable to migrate selection, no match found for check in new resources	यासाठी की, त्यांची अंतःकरणे-1	
figs-synecdoche_2_1__1	Synecdoche	unable to migrate selection, no match found for check in new resources	ज्यांनी माझे तोंड पाहिले नाही-1	
figs-you_4_17__1	Forms of You	unable to migrate selection, no match found for check in new resources	अर्खिपाला असे सांगा की, तू जी सेवा प्रभूकडून स्वीकारली आहेस ती तू पूर्ण करावीस म्हणून तिची काळजी घे.-1	
