Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_18__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तुमचा विश्वास आहे, तर माझ्याकडे काम आहे.-1	
figs-abstractnouns_3_14__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तुम्ही स्वतला शहाणे समजू नका.कारण ते असं होईल की जे खोटे आहे ते खरे होईल.-1	
figs-activepassive_1_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	हेच देवाच वचन आहे त्या प्रत्येकासाठी जे त्याचावर प्रेम करतात.-1	
figs-activepassive_1_13__1	Active or Passive	2 duplicate migrations		
figs-activepassive_3_4__1	Active or Passive	unable to migrate selection, there are 2 similar checks	पुढे नेणारा वारा सुद्धा पुष्कळ मजबूत असतो-1	
figs-activepassive_3_6__1	Active or Passive	unable to migrate selection, there are 2 similar checks	आयुष्य-1 तो स्वत: सैतानच आहे जो आपल्याला वाईट बोलण्यास प्रवृत्त करतो-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, no match found for check in new resources	( हे एकदम चुकीच आहे, कारण) देवाने मानवाला त्याच्यासारखं बनविले.-1	
figs-doublet_1_17__1	Doublet	unable to migrate selection, there are 2 similar checks	प्रत्येक खरोखर चांगली आणि परिपूर्ण भेट-1	
figs-ellipsis_1_10__1	Ellipsis	2 duplicate migrations		
figs-ellipsis_3_12__1	Ellipsis	unable to migrate selection, there are 2 similar checks	द्राक्षवेल कधीच अंजीर देत नाही-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	मी, याकोब, देवाची आणि प्रभु येशू मसीहाची सेवा करतो. मी हे पत्र तुम्हाला-1 लिहित आहे-1	
figs-explicit_1_21__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तुमचं तारण करण्यास-1	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	आवश्यक असलेले अन्न घ्या-1	
figs-gendernotations_5_12__1	When Masculine Words Include Women	unable to migrate selection, no match found for check in new resources	माझ्या बंधुनो आणि भगिनींनो,-1	
figs-gendernotations_5_19__1	When Masculine Words Include Women	unable to migrate selection, no match found for check in new resources	सहकारी विश्वासणार्‍यानो,-1	
