Reference	Localized Group	Message	Selections	
figs-abstractnouns_4_13__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	आपण सगळे विश्वास ठेवणारे एक होऊ-1	
figs-abstractnouns_6_23__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	विश्वासासह-1	
figs-abstractnouns_6_24__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	अविनाशी-1	
figs-activepassive_1_11__1	Active or Passive	unable to migrate selection, there are 2 similar checks	आम्ही पूर्वीच-1 नेमले गेलो होतो-1	
figs-activepassive_3_5__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तसे ते इतर पिढ्यांच्या मनुष्य संततीला सांगण्यात आले नव्हते.-1	
figs-explicit_6_12__1	Assumed Knowledge and Implicit Information	2 duplicate migrations		
figs-metaphor_1_18__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुमच्या मनाचे डोळे-1	
figs-metaphor_2_21__1	Metaphor	unable to migrate selection, there are 2 similar checks	संपूर्ण इमारत जोडली गेली आणि-1 पवित्र भवन होण्यासाठी वाढत आहे.-1	
figs-metaphor_4_14__1	Metaphor	unable to migrate selection, there are 2 similar checks	फसवणाऱ्या मार्गाने नेणाऱ्या युक्तीने अशा प्रत्येक नव्या शिकवणरूपी वाऱ्याने तुमचे मार्ग लाटांनी इकडेतिकडे हेलकावणाऱ्या सारखे होऊ नये;-1	
figs-metaphor_4_22__1	Metaphor	unable to migrate selection, there are 4 similar checks	तुमचा जुना मनुष्य त्यास काढून टाकावा-1	
figs-metaphor_4_30__1	Metaphor	2 selections duplicated 	["ज्याच्या द्ववारे तुम्ही तारणाच्या दिवसासाठी शिक्का मारलेले आहात.-1","ज्याच्या द्ववारे तुम्ही तारणाच्या दिवसासाठी शिक्का मारलेले आहात.-1"]	
figs-metaphor_4_30__1	Metaphor	2 duplicate migrations		
figs-metaphor_5_11__1	Metaphor	unable to migrate selection, there are 4 similar checks	अंधाराच्या निष्फळ कार्यात भाग घेऊ नका, उलट त्याऐवजी त्या उघड करा.-1	
figs-metaphor_6_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	तारणाचे शिरस्राण-1 ती घ्या,-1	
