Reference	Localized Group	Message	Selections	
figs-doublet_2_8__1	Doublet	unable to migrate selection, no match found for check in new resources	खरा-1	
figs-hendiadys_3_3__1	Hendiadys	unable to migrate selection, no match found for check in new resources	हम बैर-भाव, और डाह करने में जीवन निर्वाह करते थे-1	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-2	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमें-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे अपने-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम-2	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	अशुद्ध और अविश्वासियों के लिये कुछ भी शुद्ध नहीं-1	
grammar-connect-exceptions_1_14__1	Connect – Exception Clauses	unable to migrate selection, no match found for check in new resources	न-1	
grammar-connect-logic-result_1_9__1	Connect – Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	ताकि-1	
