Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ఆయన రక్తం మిమ్మల్ని దేవునికి అంగీకారయోగ్యమయ్యేలా చేయడానికి ఆయన ఆత్మ మిమ్మల్ని ప్రత్యేక పరచాడు. దేవుడు మీ పట్ల చాలా దయతో ప్రవర్తిస్తాడు మరియు మిమ్మల్ని మరింతగా మరియు మరింతగా సమాధానంగా జీవించేలా చేస్తాడు గాక.-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	దేవుడు, తన సర్వ శక్తి చేత-1	
figs-abstractnouns_4_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	సరైనది-1	
figs-activepassive_1_13__1	Active or Passive	unable to migrate selection, no match found for check in new resources	యేసు మెస్సీయ పరలోకం నుండి తిరిగి వచ్చినప్పుడు-1	
figs-activepassive_1_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	మెస్సీయ తిరిగి వచ్చినప్పుడు-1 ఎంతో-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	అయితే మీరు మంచి అయిన దానిని చేసిన యెడల మరియు ఇంకా శ్రమను అనుభవిస్తున్న యెడల, మీరు మంచి అయిన దానిని చేసినందుకు శ్రమ అనుభవిస్తున్నారు. మీరు దానిని సహించిన యెడల-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	లేఖనాలు చెప్పే కట్టువాని వలే ఉంటారు: “కట్టువారు తిరస్కరించిన రాయి-1	
figs-doublet_3_4__1	Doublet	unable to migrate selection, no match found for check in new resources	మీ కనపడని మనసును ఎన్నడు వాడిపోని విధంగా అందంగా మార్చుకోండి-1	
figs-euphemism_4_6__1	Euphemism	unable to migrate selection, no match found for check in new resources	వారు జీవించి ఉన్నప్పుడు దేవుడు వారికి తీర్పు తీర్చినప్పటికీ-1	
figs-explicit_2_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	మరియు ప్రతి ఒక్కరికీ తీర్పు తీర్చడానికి దేవుడు వచ్చినప్పుడు,-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ఆయనను విశ్వసించే పెద్దల వలే మారతారు. ఈ లోకంలోని సమస్త చెడుల నుండి దేవుడు మిమ్మల్ని పూర్తిగా విడిపించే వరకు మీరు దీనిని చేయాలి.-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	చాలా విలువైన రాయి, భవనంలో అత్యంత ముఖ్యమైన రాయి లాంటి వ్యక్తిని ఉంచుతున్నాను-1	
figs-explicit_3_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	వారికి సహాయం చేయమని దేవుణ్ణి అడగండి-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	దేవునికి విధేయత చూపడానికి-1 మీరు మీ మనస్సులను క్రమశిక్షణలో పెట్టుకోవాలి అని న భావన,-1	
figs-idiom_4_7__1	Idiom	unable to migrate selection, no match found for check in new resources	మీరు ఆలోచిస్తున్న దానిని నియంత్రించండి-1	
figs-idiom_5_8__1	Idiom	unable to migrate selection, no match found for check in new resources	ఎల్లప్పుడూ అప్రమత్తంగా ఉండండి-1	
figs-metaphor_1_20__1	Metaphor	unable to migrate selection, no match found for check in new resources	దేవుడు ఆయనను మీకు బయలుపరచాడు.-1	
figs-metaphor_1_4__1	Metaphor	unable to migrate selection, no match found for check in new resources	ఆయన మన కోసం ఉంచిన వాటిని-1 ఆయన మనలను శక్తి మంతులనుగా చేశాడు.-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	దీని గురించి ఆలోచించమని నేను మిమ్మల్ని బతిమాలుచున్నాను. మీరు పరలోకంలో నిజమైన ఇల్లు ఉన్న విదేశీయుల వలె ఉన్నారు. కాబట్టి మీరు చేయాలని కోరుకున్న పాపపు క్రియలు చేయకూడదు,-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	ఎందుకంటే మీరు వాటిని చేసిన యెడల, మీరు దేవునితో మంచిగా జీవించలేరు.-1	
figs-metaphor_2_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	కొత్తగా పుట్టిన శిశువులు తమ తల్లుల స్వచ్ఛమైన పాల కోసం ఆరాటపడిన విధంగా, మీరు దేవుని నుండి సత్యమైన సంగతులు నేర్చుకోవడానికి కోరుకోవాలి.-1	
figs-metaphor_2_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	అని లేఖనాలు మనకు చూపుతున్నాయి-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	నీతిమంతులు చేసే వాటిని ప్రభువు అంగీకరిస్తాడు.-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	జవాబిస్తాడు.-1 ఆయన తిరస్కరిస్తాడు-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	మనలను దేవుని దగ్గరకు తీసుకురావడానికి ఆయన మరణించాడు.-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	ఆయన సాధారణ శరీరాన్ని కలిగి ఉన్న సమయంలో, ఆయన చంపబడ్డాడు,-1	
figs-metaphor_3_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	దేవుడు మిమ్ములను ఆమె కుమార్తెలుగా పరిగణిస్తాడు.-1	
figs-metaphor_4_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	మనం ఇతరులను ప్రేమించిన యెడల వారు ఏమి తప్పు చేశారో తెలుసుకోవడానికి మనం ప్రయత్నించము..-1	
figs-metaphor_5_10__1	Metaphor	unable to migrate selection, no match found for check in new resources	ఆయనను మరింత విశ్వసించేలా ఆయన మిమ్మును బలపరుస్తాడు మరియు ఆయన మీకు అన్ని విధాలలో సహాయం చేస్తాడు.-1	
figs-metaphor_5_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	ఈ సందేశాన్ని దృఢంగా విశ్వసించడాన్ని కొనసాగించండి!-1	
figs-metaphor_5_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	మీ సంఘాలలో ఉన్న ప్రజల యొక్క శ్రద్ధను తీసుకొమ్మని నేను పెద్దలైన మీకు విజ్ఞప్తి చేస్తున్నాను-1	
figs-metonymy_1_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	మనుష్యులు అందరూ గడ్డి నశించిన విధంగా నశిస్తారు-1 శాశ్వతంగా ఉండదు. గడ్డి వాడిపోతుంది-1	
figs-metonymy_2_11__1	Metonymy	unable to migrate selection, no match found for check in new resources	ఎందుకంటే మీరు వాటిని చేసిన యెడల, మీరు దేవునితో మంచిగా జీవించలేరు.-1	
figs-metonymy_2_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	ఆయన సిలువ మీద మరణించినప్పుడు మన పాపాలకు శిక్షను-1 తన శరీరంలో భరించాడు,-1	
figs-metonymy_2_5__1	Metonymy	unable to migrate selection, no match found for check in new resources	బలిపీఠం వద్ద బలి అర్పించే యాజకుల వలె మీరు కూడా-1 చేయడానికి ఆయన ఇలా చేస్తున్నాడు-1	
