Reference	Localized Group	Message	Selections	
figs-informremind_10_3__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-informremind_2_15__1	figs-informremind	unable to migrate selection, no match found for check in new resources	बीहैल की पुत्री, मोर्दकै के चाचा, जिसने उसे अपने लिए एक पुत्री जैसे लिया था-1	
figs-informremind_2_15__1	figs-informremind	unable to migrate selection, no match found for check in new resources	राजा का खोजा जो स्त्रियों का निरीक्षक था-1	
figs-informremind_3_10__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदियों का विरोधी-1	
figs-informremind_5_13__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-informremind_8_1__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदियों का विरोधी-1	
figs-informremind_9_10__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदियों का विरोधी-1	
figs-informremind_9_24__1	figs-informremind	unable to migrate selection, no match found for check in new resources	सारे यहूदियों का विरोधी-1	
figs-informremind_9_29__1	figs-informremind	unable to migrate selection, no match found for check in new resources	अबीहैल की पुत्री-1	
figs-informremind_9_29__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-informremind_9_31__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-metonymy_5_14__1	Metonymy	2 duplicate migrations		
