Reference	Localized Group	Message	Selections	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	ಕರೆಯಲ್ಪಟ್ಟವರಿಗೆ-1	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	ಏಕೈಕ ದೇವರಿಗೆ ಮಹಿಮೆ-1 ಘನತೆ-1 ಶಕ್ತಿ ಮತ್ತು ಅಧಿಪತ್ಯ-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ಅವುಗಳ ಸುತ್ತಮುತ್ತಲಿನ ಪಟ್ಟಣಗಳವರೂ ಅವರಂತೆ ಲೈಂಗಿಕ ಅನೈತಿಕತೆಯನ್ನು ಮಾಡಿ-1	
figs-activepassive_1_12__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಮಳೆಯಿಲ್ಲದ ಮೋಡಗಳು-1 ಗಾಳಿಯಿಂದ ಒಯ್ಯಲ್ಪಟ್ಟವು-1	
figs-activepassive_1_1__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ಯೇಸು ಕ್ರಿಸ್ತನಲ್ಲಿ ಕಾಪಾಡಲ್ಪಟ್ಟವರಿಗೆ-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	ಕಾಯಿನನ ಮಾರ್ಗದಲ್ಲಿ-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	ಕೂಲಿಗಾಗಿ ಬಿಳಾಮನ ತಪ್ಪಿಗೆ-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	ಕೋರಹನ ದಂಗೆಯಲ್ಲಿ-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ಯಾಕೋಬನ ತಮ್ಮನೂ-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ಕರೆಯಲ್ಪಟ್ಟವರಿಗೆ-1	
