Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	Также наставляй их твёрдо верить в Божью истину, искренне любить окружающих и продолжать поступать так даже в тяжёлые времена.-1	
figs-doublet_2_8__1	Doublet	unable to migrate selection, no match found for check in new resources	истине-1	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-2	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	за нас-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-2	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	наши люди-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	мы сами-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нам-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	нас-1	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	Если-2 люди злые и не верят в Мессию Иисуса, то всё, что они делают, плохо.-1	
grammar-connect-exceptions_1_14__1	Connect – Exception Clauses	unable to migrate selection, no match found for check in new resources	Они должны перестать-1	
grammar-connect-logic-result_1_9__1	Connect – Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	Это важно для того, чтобы-1	
