Reference	Localized Group	Message	Selections	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	मी,} शिमोन पेत्र-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{येशूने हे त्याच्या नीतिमान कृत्यांनी केले आहे}.-1 आपला देव आहे आणि तोच आपल्याला वाचवतो.-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	देवाने अभिवचन दिले आहे की तो आपल्यासाठी अति मोलवान आणि महान गोष्टी करेल.-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	केवळ मशीहावर विश्वास ठेवण्यासाठीच नव्हे-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	{आणि खात्री करा की तुम्ही फक्त} देवाबद्दल अधिक शिकत नाही,-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	{तर तुम्ही} स्वतःवर नियंत्रण ठेवता {तुम्ही काय करता आणि बोलता}. {आणि खात्री करा की तुम्ही फक्त} स्वतःवर नियंत्रण ठेवत नाही {तुम्ही काय करता आणि बोलता}, {तर तुम्ही संकटातही देवाशी विश्वासू राहता-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{तर तुम्ही} इतरांवर प्रेम देखील करता.-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	आणि त्याची मूर्ख कृती-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तेथील दुराचार्‍यांचे, कामातुरपणाचे वागणे पाहून {सदोममध्ये} त्रस्त झाला होता;-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	आमचे तारण करतो-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, there are 2 similar checks	मग देव पृथ्वी आणि त्यात जे काही केले आहे ते सर्व प्रकट करेल.-1	
figs-activepassive_3_5__1	Active or Passive	unable to migrate selection, there are 2 similar checks	{ते असे म्हणतील} कारण ते जाणूनबुजून याकडे दुर्लक्ष करतात-1	
figs-activepassive_3_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देव त्यांना त्या काळासाठी ठेवले आहे जेव्हा तो दुष्टपणे वागणाऱ्या लोकांचा न्याय करेल-1	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	आणि त्याची मूर्ख कृती थांबवण्यासाठी-1	
figs-metaphor_1_13__1	Metaphor	unable to migrate selection, there are 2 similar checks	तोपर्यंत तुम्हाला {या गोष्टींची} आठवण करून देत राहणे-1	
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	पुन्हा त्यांच्यावर नियंत्रण ठेवू लागल्या-1	
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	आणि अनीतिमान लोकांच्या भ्रांतीप्रवाहात सापडून आपल्या स्थिरतेतून ढळू नये ह्यासाठी जपून राहा.-1	
figs-metaphor_3_1__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुम्हास आठवण देऊन तुमचे निर्मळ मन जागृत करीत आहे.-1	
writing-pronouns_1_17__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	जेव्हा येशूने}-1 एक वाणी ऐकली-1	
writing-pronouns_1_4__1	Pronouns — When to Use Them	unable to migrate selection, there are 3 similar checks	त्याने जे अभिवचन दिले आहे त्यावर {विश्वास ठेवून}-1	
writing-pronouns_2_2__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	{या खोट्या शिक्षकांप्रमाणे} अनैतिक कृत्ये करतील-1	
