Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	firmly believe the true things about God, love others truly, and do all these things even when it is difficult-1	
figs-doublet_2_8__1	Doublet	unable to migrate selection, no match found for check in new resources	that no one can criticize-1	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-2	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-5	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-2	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	our-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-1 us-2	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	any of us-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	our people-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-2 us-3	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	we ourselves-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-1 us-3 us-5	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-2	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	us-4	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	if people are wicked and do not believe in the Messiah Jesus, everything that they do is bad-1	
grammar-connect-exceptions_1_14__1	Connect – Exception Clauses	unable to migrate selection, no match found for check in new resources	They should stop-1	
grammar-connect-logic-result_1_9__1	Connect – Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	so that-1 so that-2	
