Reference	Localized Group	Message	Selections	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	लोक शांततेने एकत्र राहतील?-1	
figs-abstractnouns_12_51__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	नाही!-1 लोक विभागले जातील-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	परिणामी, या वेळी राहणा-या लोकांना-1 शिक्षा दिली जाईल.-1	
figs-activepassive_11_50__1	Active or Passive	unable to migrate selection, there are 2 similar checks	लोकांनी मारलेल्या-1 खुनाची-1	
figs-activepassive_12_2__1	Active or Passive	unable to migrate selection, there are 2 similar checks	लोक आपले पाप लपवू शकत नाहीत.-1 लपवू इच्छीता-1	
figs-activepassive_12_48__1	Active or Passive	unable to migrate selection, there are 3 similar checks	ज्या दासाला त्याने बरेच काही दिले आहे त्यांच्याकडून मालक खूप अपेक्षा करेल-1	
figs-activepassive_12_50__1	Active or Passive	unable to migrate selection, there are 3 similar checks	लवकरच मला भयंकर दुःखाच्या-1	
figs-activepassive_14_14__1	Active or Passive	unable to migrate selection, there are 2 similar checks	परतफेड करू शकणा-1	
figs-activepassive_14_34__1	Active or Passive	unable to migrate selection, there are 2 similar checks	जर मिठाचा खारटपणा कमी होत असेल-1	
figs-activepassive_16_25__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तुला त्रास होत आहे.-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	परंतु ज्या लोकांना देव-1 ते लग्न करणार नाहीत.-1	
figs-activepassive_20_35__1	Active or Passive	unable to migrate selection, there are 2 similar checks	लोकांना देव मेलेल्यांतून उठल्याव-1 योग्य समजतो-1	
figs-activepassive_22_22__1	Active or Passive	unable to migrate selection, there are 2 similar checks	माझ्या शत्रूंच्या स्वाधीन करतो-1	
figs-activepassive_23_32__1	Active or Passive	unable to migrate selection, there are 2 similar checks	आणखी दोन पुरूष जे गुन्हेगार होते. तेही येशू संगती-1	
figs-activepassive_24_44__1	Active or Passive	unable to migrate selection, there are 2 similar checks	माझ्याबद्दल जे काही लिहिले-1	
figs-activepassive_24_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	‘ते मनुष्याच्या पुत्राला-1 हातात देतील-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देव त्या झाडांच्या पायथ्याशी कुऱ्हाडीचे डोके ठेवलेल्या माणसासारखा आहे,-1 देव-2 तयार आहे.”-1	
figs-activepassive_3_9__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तुम्ही फळांच्या झाडांसारखे आहात जे चांगले फळ देत नाहीत-1 त्यांना तोडून आगीत टाकायला तयार आहे.-1 शिक्षा करण्यास-1	
figs-activepassive_6_38__1	Active or Passive	unable to migrate selection, there are 3 similar checks	लक्षात ठेवा की तुम्ही इतरांना न्याय देण्यासाठी किंवा आशीर्वाद देण्यासाठी जे माप वापरता-1 देव तुम्हाला न्याय देण्यासाठी किंवा आशीर्वाद देण्यासाठी वापरेल.”-1	
