Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_23__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	पाप करणे थांबविण्यास-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तुम्ही देवासारखे आहात, ज्याने तुम्हाला-1 बदलले-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	{अशा प्रकारे वागण्यात) एखाद्या वनस्पतीची मुळे जशी-1 घट्ट धरून ठेवतात, तशीच त्याच्याशी घट्टपणे स्थिरावलेले राहणे हे समाविष्ट आहे.-1 पूर्णपणे-1 अवलंबून राहणे, जसे एखादे घर त्याच्या पायावर उभे राहते.-1	
figs-explicit_4_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	जो व्यक्ती-1 वाचून दाखवतो,-1 ते संपवल्यानंतर-1 कोणीतरी-1 वाचून दाखवेल-1	
figs-idiom_4_9__1	Idiom	unable to migrate selection, there are 2 similar checks	येथे प्रत्येक गोष्टीबद्दल (जे घडत आहे) त्याबद्दल सांगतील.-1	
figs-metaphor_2_12__1	Metaphor	unable to migrate selection, there are 2 similar checks	देवाने तुमच्यासाठी काय केले आहे हे समजून घेण्याचा आणखी एक मार्ग येथे आहे:} जेव्हा त्यांनी तुम्हाला बाप्तिस्मा दिला, तेव्हा जणू काही {तुम्ही मरण पावला आणि लोकांनी तुम्हाला पुरले [कारण देवाने पित्याने तुझा समावेश केला होता] जेव्हा {मसीहा मरण पावला आणि लोकांनी त्याला पुरले.आणि जणू काही देवाने मसीहाला पुन्हा जिवंत केले तेव्हा पित्याने तुम्हाला पुन्हा जिवंत केले [कारण त्याने तुझा समावेश केला] .-1	
figs-metaphor_2_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	{त्यातही समावेश आहेच} पूर्णपणे त्याच्यावर अवलंबून राहणे, जसे एखादे घर त्याच्या पायावर उभे राहते. एपफ्रासने जसे तुम्हाला शिकवले त्याप्रमाणे मसीहावर विश्वासाने भरवसा ठेवणे आणि अधिकाधिक उपकारस्मरण करत त्यामध्ये वाढत जा.-1	
figs-metaphor_2_8__1	Metaphor	unable to migrate selection, there are 2 similar checks	जो कोणी तुम्हाला दूर नेण्याचा प्रयत्न करेल तो पोकळ आणि फसव्या मानवी विचारसरणीचा वापर करेल. [-1	
figs-metaphor_3_11__1	Metaphor	unable to migrate selection, there are 3 similar checks	देवाने त्याला तुम्हा सर्वांशी एकरूप केले आहे.-1	
figs-metaphor_3_5__1	Metaphor	unable to migrate selection, there are 2 similar checks	या जगात वाईट गोष्टी करण्याच्या तुमच्या इच्छांचा विचार करा, जे तुम्ही जिवे मारलेच पाहिजे असे शत्रू समजा. {ज्या वाईट गोष्टींची तुम्हाला इच्छा बाळगता त्यात} जारकर्म,-1	
figs-possession_2_17__1	Possession	unable to migrate selection, there are 2 similar checks	देवाने उपयोगात आणलेल्या या गोष्टी त्याने भविष्यासाठी काय योजना आखली होती हे सूचित करते, जे स्वतः मसीहाच्या येण्याबद्दल आहे-1	
grammar-connect-logic-goal_3_10__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, there are 2 similar checks	तुम्ही देवासारखे आहात, ज्याने तुम्हाला या नव्या व्यक्तीमध्ये बदलले.-1	
translate-unknown_3_4__1	Translate Unknowns	unable to migrate selection, there are 2 similar checks	{तो पुन्हा पृथ्वीवर परत येईल आणि} प्रत्येकजण त्याला पाहील, त्या वेळी तुम्ही त्याच्याबरोबर असाल. मग, प्रत्येकजण पाहील की आपणही त्याच्यासारखे गौरवात प्रकट केले जाऊ.-1	
