Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	आणि याची खात्री पटल्यामुळे-1	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	, तुमच्या प्रगतीसाठी-1	
figs-abstractnouns_1_28__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तारणाचे-1	
figs-abstractnouns_2_1__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	जर काही कळवळा व दया असेल-1	
figs-abstractnouns_2_8__1	Abstract Nouns	2 duplicate migrations		
figs-activepassive_3_21__1	Active or Passive	unable to migrate selection, no match found for check in new resources	तो ज्या कृतीने सर्व गोष्टी स्वतःला आज्ञांकित करण्यास समर्थ आहे, त्याच कृतीने-1 च्या गौरवी शरिरासारखे व्हावे म्हणून ते-1	
figs-doublet_2_15__1	Doublet	unable to migrate selection, there are 2 similar checks	कुटिल आणि विपरीत पिढीत-1 जगात-1	
figs-ellipsis_1_30__1	Ellipsis	unable to migrate selection, no match found for check in new resources	माझ्यामध्ये-1	
figs-ellipsis_2_1__2	Ellipsis	unable to migrate selection, no match found for check in new resources	जर-1 काही-1 असेल-1	
figs-ellipsis_2_1__2	Ellipsis	unable to migrate selection, no match found for check in new resources	जर-1 काही-1 असेल-1	
figs-ellipsis_2_1__3	Ellipsis	unable to migrate selection, no match found for check in new resources	, जर-1 काही-1 असेल,-1	
figs-explicit_1_14__1	Assumed Knowledge and Implicit Information	2 duplicate migrations		
figs-explicit_1_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	परंतू तुमच्यासाठी देहात राहणे-1	
figs-explicit_1_30__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	पाहीला आणि आता तोच तुम्ही माझ्यामध्ये ऐकत आहात.-1	
figs-explicit_1_5__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	हील्या दिवसापासून आत्ता पर्यंत-1	
figs-explicit_1_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 5 similar checks	येशू ख्रिस्ताच्या दिवसापर्यंत-1	
figs-explicit_4_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	दीन अवस्थेत कसे रहावे हे मी जाणतो, आणि विपुलतेत कसे रहावे हेही-1	
figs-extrainfo_1_25__1	When to Keep Information Implicit	unable to migrate selection, no match found for check in new resources	मी राहणार-1	
figs-extrainfo_1_28__1	When to Keep Information Implicit	unable to migrate selection, no match found for check in new resources	हे देवाकडून आहे-1	
figs-hendiadys_1_20__1	Hendiadys	unable to migrate selection, no match found for check in new resources	उत्कट अपेक्षा आणि आशेनुसार-1	
figs-hyperbole_3_2__1	Hyperbole	unable to migrate selection, no match found for check in new resources	देहविच्छेदन क-1	
figs-hypo_3_4__1	Hypothetical Situations	2 duplicate migrations		
figs-idiom_3_9__1	Idiom	unable to migrate selection, no match found for check in new resources	त्याच्यात-1 आढळून यावे.-1	
figs-imperative_2_5__1	Imperatives — Other Uses	unable to migrate selection, no match found for check in new resources	अशी वृत्ती ठेवा-1	
figs-irony_3_2__1	Irony	unable to migrate selection, no match found for check in new resources	कुत्र्यांपासून-1	
figs-metaphor_1_11__1	Metaphor	unable to migrate selection, there are 2 similar checks	येशू ख्रिस्ताद्वारे असलेल्या नीतिमत्त्वाच्या फळाने परिपूर्ण व्हावे.-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	देव जो पिता त्याच्या गौरवासाठी-1	
figs-metaphor_2_16__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_25__1	Metaphor	unable to migrate selection, there are 2 similar checks	सह कामकरी आणि सह सैनीक,-1	
figs-metaphor_2_30__1	Metaphor	unable to migrate selection, no match found for check in new resources	तो-1 मरणापर्यंत पोहोचला होता.-1	
figs-metaphor_2_30__1	Metaphor	unable to migrate selection, no match found for check in new resources	माझ्या सेवेत तुमच्याकडून जे कमी झाले ते पुरे करण्यास,-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	मी ज्यासाठीच ख्रिस्त येशूकडून हस्तगत झालो ते मला-1 मिळवता आल्यास-1	
figs-metaphor_3_13__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_14__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	कित्येक असे चालत आहेत-1	
figs-metaphor_3_19__1	Metaphor	unable to migrate selection, no match found for check in new resources	त्यांचा देव पोट आहे,-1	
figs-metaphor_3_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	कुत्र्यांपासू-1	
figs-metaphor_3_7__1	Metaphor	2 duplicate migrations		
figs-metaphor_4_14__1	Metaphor	unable to migrate selection, no match found for check in new resources	माझ्या दुःखांत-1	
figs-metaphor_4_3__1	Metaphor	unable to migrate selection, no match found for check in new resources	, खऱ्या सहकारी,-1	
figs-metonymy_1_7__1	Metonymy	2 duplicate migrations		
figs-metonymy_3_10__1	Metonymy	unable to migrate selection, no match found for check in new resources	त्याच्या मरणाशी एकरूप होऊन-1	
figs-metonymy_4_15__1	Metonymy	unable to migrate selection, no match found for check in new resources	सुवार्तेच्या प्रथमारंभी-1	
figs-metonymy_4_1__1	Metonymy	unable to migrate selection, no match found for check in new resources	माझा आनंद व मुगुट आहा-1	
figs-metonymy_4_2__1	Metonymy	unable to migrate selection, no match found for check in new resources	प्रभूमध्ये असाच विचार करण्याची-1	
figs-metonymy_4_7__1	Metonymy	unable to migrate selection, no match found for check in new resources	तुमची अंतःकरणे व तुमची मने ख्रिस्त येशूच्या द्वारे राखील-1	
figs-parallelism_4_12__1	Parallelism	unable to migrate selection, no match found for check in new resources	तृप्त होण्यास तसेच उपाशी राहण्यास, विपुलतेत राहण्यास तसेच गरजेत राहण्यास-1	
figs-personification_4_7__1	Personification	unable to migrate selection, no match found for check in new resources	तुमची अंतःकरणे व तुमची मने ख्रिस्त येशूच्या द्वारे राखील.-1	
figs-rpronouns_3_4__1	Reflexive Pronouns	unable to migrate selection, no match found for check in new resources	मलाही-1	
figs-synecdoche_2_11__1	Synecdoche	unable to migrate selection, no match found for check in new resources	प्रत्येक जिभेने-1	
figs-yousingular_1_24__1	Forms of ‘You’ — Singular	unable to migrate selection, no match found for check in new resources	तुमच्या-1	
figs-yousingular_1_28__1	Forms of ‘You’ — Singular	unable to migrate selection, no match found for check in new resources	जे तुमचा विरोध करतात त्यांना कशाचीही भीती बाळगू नका.-1	
translate-unknown_1_13__1	Translate Unknowns	unable to migrate selection, no match found for check in new resources	राजवाड्याच्या रक्षकांमध्ये-1	
