Reference	Localized Group	Message	Selections	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	{मी हे पत्र तुम्हांला लिहित आहे} ज्यांच्यावर देवाने विश्वास ठेवला आहे तसाच त्याने आम्हा प्रेषितांना {मशीहावर} विश्वास ठेवला आहे.-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{मी हे पत्र तुम्हांला लिहित आहे} ज्यांच्यावर देवाने विश्वास ठेवला आहे तसाच त्याने आम्हा प्रेषितांना {मशीहावर} विश्वास ठेवला आहे.-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	आणि पापी गोष्टी करण्याच्या इच्छेने जगातील नैतिक भ्रष्टता तुम्हाला यापुढे सहन करावा लागणार नाही.-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	{तर} देवाबद्दल अधिक जाणून घेता.-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	तर तुम्ही} त्याचा आदरही करता.-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	{तर तुम्ही} स्वतःवर नियंत्रण ठेवता {तुम्ही काय करता आणि बोलता}. {आणि खात्री करा की तुम्ही फक्त} स्वतःवर नियंत्रण ठेवत नाही {तुम्ही काय करता आणि बोलता}, {तर तुम्ही संकटातही देवाशी विश्वासू राहता-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{तर तुम्ही} कुटुंबातील सदस्यांप्रमाणे एकमेकांना आपुलकीही दाखवता. {आणि खात्री करा की तुम्ही केवळ} कुटुंबातील सदस्य म्हणून एकमेकांना आपुलकी दाखवत नाही,-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	देवाने [इस्राएलविरुद्ध] त्याच्या अनाचाराचा निषेध केला;-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तेथील दुराचार्‍यांचे, कामातुरपणाचे वागणे पाहून {सदोममध्ये} त्रस्त झाला होता;-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	जो आमच्यावर राज्य करतो आणि आमचे तारण करतो त्याने प्रेषितांच्याद्वारे तुम्हाला दिलेल्या आज्ञेची आठवण तुम्ही ठेवावी.{अशी माझी इच्छा आहे}.-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देव देखील अग्नीद्वारे निसर्गातील मूलभूत घटकांचा नाश करील-1	
figs-activepassive_3_5__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देवाने स्वर्गाला खूप पूर्वीपासून असे करण्याची आज्ञा देऊन अस्तित्वात आणली-1	
figs-activepassive_3_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तथापि, देवाने, त्याच आज्ञेने, आता अस्तित्वात असलेले आकाश आणि पृथ्वी अग्नीसाठी वेगळे केले आहे-1	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	देवाने [इस्राएलविरुद्ध] त्याच्या अनाचाराचा निषेध केला;-1	
figs-metaphor_1_13__1	Metaphor	unable to migrate selection, there are 2 similar checks	{या गोष्टींची} आठवण करून देत राहणे हे मला योग्य वाटते-1	
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	जर त्यांनी पापी मानवी स्वभावाला अपवित्र करणार्‍या गोष्टी करणे थांबवले असेल-1	
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	विश्‍वासूपणे जगणे थांबवण्यापासून-1 दूर ठेवा आणि अनीतिमान लोकांच्या भ्रांतीप्रवाहात सापडून आपल्या स्थिरतेतून ढळू नये ह्यासाठी जपून राहा.-1	
figs-metaphor_3_1__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुम्हास आठवण देऊन तुमचे निर्मळ मन जागृत करीत आहे.-1	
writing-pronouns_1_17__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	माझा-1 मी खूप प्रेम करतो-1 मी-3	
writing-pronouns_1_4__1	Pronouns — When to Use Them	unable to migrate selection, there are 3 similar checks	{त्याच्या तेजस्वी आणि उत्कृष्ट चारित्र्याने-1	
writing-pronouns_2_2__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	खोट्या शिक्षकांमुळे-1	
