Reference	Localized Group	Message	Selections	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	{मी,} यहूदा-1	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	एकच देव आहे-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	देवदूतांना आणि लोकांना} नरकाच्या अग्नीत अनंतकाळासाठी त्रास देऊन,-1	
figs-activepassive_1_12__1	Active or Passive	unable to migrate selection, there are 2 similar checks	कारण देव त्यांना उपटून टाकील.-1	
figs-activepassive_1_1__1	Active or Passive	unable to migrate selection, there are 2 similar checks	ज्यांच्यावर देव पिता प्रीती करतो-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	कोरह आणि ज्यांनी मोशेविरुद्ध बंड केले त्यांचा नाश केला तसा देव त्यांचा नक्कीच नाश करील-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	ते काईनसारखे वागतात, {ज्याने त्याच्या भावाचा खून केला}-1	
figs-explicit_1_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	कोरह आणि ज्यांनी मोशेविरुद्ध बंड केले त्यांचा नाश केला तसा देव त्यांचा नक्कीच नाश करील-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ज्यांना देवाने पाचारण केले आहे,-1 मी लिहित आहे-1	
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	मी याकोबचा भाऊ आहे-1	
