Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ଏବଂ ସେମାନେ ତାହାଙ୍କ ଗୌରବମୟ ଉପସ୍ଥିତିରେ ଚିରଦିନ ତାହାଙ୍କ ସହିତ ରହିବେ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ମୁଁ ଯାହା ଶିକ୍ଷା-1 ଶିକ୍ଷା ଦିଅ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ଓ ମୁଁ କିପରି ଈଶ୍ଵରଙ୍କ ସେବା କରିବା ପାଇଁ ସବୁକିଛି କରେ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ତୁମ୍ଭେ ମୋ' ଭଳି ଈଶ୍ଵରଙ୍କୁ ବିଶ୍ଵାସ କରୁଅଛ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ମୁଁ ଯନ୍ତ୍ରଣା ଦୁଃଖଭୋଗ ସମୟରେ ମଧ୍ୟ ମୋର ଶାନ୍ତି ଅଛି ତାହା ତୁମ୍ଭେ ଦେଖିଅଛ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ମୁଁ ଈଶ୍ଵର ଓ ବିଶ୍ଵାସୀମାନଙ୍କୁ ପ୍ରେମ କରେ ତାହା ତୁମ୍ଭେ ଦେଖିଛ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ତୁମ୍ଭେ ଦେଖିଅଛ ଯେତେବେଳେ ଏହା କରିବା ଅଧିକ କଷ୍ଟକର ହେଲେ ସୁଦ୍ଧା ମୁଁ ସର୍ବଦା ଈଶ୍ଵରଙ୍କ ସେବା କରେ-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	ସେମାନେ ଏହି ଶିକ୍ଷକମାନଙ୍କୁ ମୂର୍ଖ କାହାଣୀଗୁଡ଼ିକ ସହିତ ସେମାନଙ୍କୁ ପ୍ରତାରଣା କରିବାକୁ ଦେବେ।-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	ସେମାନେ କେବଳ ସତ୍ୟ କଅଣ ଶୁଣିବା ବନ୍ଦ କରିବେ ନାହିଁ-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, there are 2 similar checks	ଯଥାର୍ଥ ବାକ୍ୟ-1	
