Reference	Localized Group	Message	Selections	
figs-informremind_10_3__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-informremind_2_15__1	figs-informremind	unable to migrate selection, no match found for check in new resources	जिसे मोर्दकै ने-1 अपनी पुत्री के रूप में गोद लिया था। वह मोर्दकै के चाचा अबीहैल की पुत्री थी।-1	
figs-informremind_2_15__1	figs-informremind	unable to migrate selection, no match found for check in new resources	कुंवारियों के हरम के प्रभारी राजकीय सेवा टहल करने वाले-1	
figs-informremind_3_10__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदियों का शत्रु बन गया था-1	
figs-informremind_5_13__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-informremind_8_1__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदियों का शत्रु था-1	
figs-informremind_9_10__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदियों के शत्रु-1 यहूदियों-2 उन्होंने-1	
figs-informremind_9_24__1	figs-informremind	unable to migrate selection, no match found for check in new resources	सभी यहूदियों के शत्रु-1	
figs-informremind_9_29__1	figs-informremind	unable to migrate selection, no match found for check in new resources	अबीहैल की पुत्री-1	
figs-informremind_9_29__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-informremind_9_31__1	figs-informremind	unable to migrate selection, no match found for check in new resources	यहूदी-1	
figs-metonymy_5_14__1	Metonymy	2 duplicate migrations		
