Reference	Localized Group	Message	Selections	
 grammar-connect-logic-result_2_2__1	 grammar-connect-logic-result	unable to migrate selection, no match found for check in new resources	या खोट्या शिक्षकांमुळे-1	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	{मी हे पत्र तुम्हांला लिहित आहे} ज्यांच्यावर देवाने विश्वास ठेवला आहे तसाच त्याने आम्हा प्रेषितांना {मशीहावर} विश्वास ठेवला आहे.-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{मी हे पत्र तुम्हांला लिहित आहे} ज्यांच्यावर देवाने विश्वास ठेवला आहे तसाच त्याने आम्हा प्रेषितांना {मशीहावर} विश्वास ठेवला आहे.-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	त्याच्या गौरवशाली व उत्कृष्ट चारित्र्याने-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	आणि पापी गोष्टी करण्याच्या इच्छेने जगातील नैतिक भ्रष्टता तुम्हाला यापुढे सहन करावा लागणार नाही.-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	{तर} देवाबद्दल अधिक जाणून घेता.-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	तर तुम्ही} त्याचा आदरही करता.-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	{तर तुम्ही} स्वतःवर नियंत्रण ठेवता {तुम्ही काय करता आणि बोलता}. {आणि खात्री करा की तुम्ही फक्त} स्वतःवर नियंत्रण ठेवत नाही {तुम्ही काय करता आणि बोलता}, {तर तुम्ही संकटातही देवाशी विश्वासू राहता-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	{तर तुम्ही} कुटुंबातील सदस्यांप्रमाणे एकमेकांना आपुलकीही दाखवता. {आणि खात्री करा की तुम्ही केवळ} कुटुंबातील सदस्य म्हणून एकमेकांना आपुलकी दाखवत नाही,-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	देवाने [इस्राएलविरुद्ध] त्याच्या अनाचाराचा निषेध केला;-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	तेथील दुराचार्‍यांचे, कामातुरपणाचे वागणे पाहून {सदोममध्ये} त्रस्त झाला होता;-1	
figs-abstractnouns_3_15__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	देवाने दिलेले ज्ञान वापरून त्याने लिहिले आहे.-1	
figs-abstractnouns_3_18__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	मी प्रार्थना करतो की प्रत्येकजण आता आणि सदासर्वकाळ येशूचे गौरव असो.आमेन!-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	जो आमच्यावर राज्य करतो आणि आमचे तारण करतो त्याने प्रेषितांच्याद्वारे तुम्हाला दिलेल्या आज्ञेची आठवण तुम्ही ठेवावी.{अशी माझी इच्छा आहे}.-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देव देखील अग्नीद्वारे निसर्गातील मूलभूत घटकांचा नाश करील-1	
figs-activepassive_3_5__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देवाने स्वर्गाला खूप पूर्वीपासून असे करण्याची आज्ञा देऊन अस्तित्वात आणली-1	
figs-activepassive_3_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तथापि, देवाने, त्याच आज्ञेने, आता अस्तित्वात असलेले आकाश आणि पृथ्वी अग्नीसाठी वेगळे केले आहे-1	
figs-ellipsis_2_14__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ते पाप करणे थांबवू शकत नाहीत-1	
figs-exclusive_1_16__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	आमचा प्रभु येशू मशीहा-1	
figs-exclusive_1_3__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	आपल्याला-2	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	देवाने [इस्राएलविरुद्ध] त्याच्या अनाचाराचा निषेध केला;-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	{अविश्वासणारे} ख्रिस्ती पणाबद्दल वाईट बोलतील.-1	
figs-explicit_2_4__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	आणि त्यांचा न्याय करण्यासाठी त्यांना तेथे ठेवले आहे.-1	
figs-infostructure_2_18__1	Information Structure	unable to migrate selection, no match found for check in new resources	{हे खरे आहे} कारण ते लोकांना पाप करण्यास प्रवृत्त करतात जे अलीकडेच {विश्वासी बनले आहेत आणि} दुष्ट अविश्वासू लोक जे करतात ते करणे थांबवले आहे. {हे खोटे शिक्षक असे करतात}. मूर्खपणाच्या, फुगीर गोष्टी बोलून,त्यांच्या पापी स्वभावाला जे काही करायचे आहे ते करून ते या लोकांना पाप करण्यास प्रवृत्त करतात.-1	
figs-metaphor_1_13__1	Metaphor	unable to migrate selection, there are 2 similar checks	{या गोष्टींची} आठवण करून देत राहणे हे मला योग्य वाटते-1	
figs-metaphor_2_15__1	Metaphor	unable to migrate selection, there are 4 similar checks	बौराचा पुत्र बलाम याने जे केले त्याचे ते अनुकरण करत आहेत-1	
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	जर त्यांनी पापी मानवी स्वभावाला अपवित्र करणार्‍या गोष्टी करणे थांबवले असेल-1	
figs-metaphor_2_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	देवाने (ह्या पाप करणाऱ्या देवदूतांना) तेथे कैद केले-1	
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	विश्‍वासूपणे जगणे थांबवण्यापासून-1 दूर ठेवा आणि अनीतिमान लोकांच्या भ्रांतीप्रवाहात सापडून आपल्या स्थिरतेतून ढळू नये ह्यासाठी जपून राहा.-1	
figs-metaphor_3_1__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुम्हास आठवण देऊन तुमचे निर्मळ मन जागृत करीत आहे.-1	
figs-metonym_2_10__1	figs-metonym	unable to migrate selection, no match found for check in new resources	जे लोक त्यांच्या पापी अंतःकरणात जे करायचे ते करत राहतात त्यांना-1 हे लोक} दैवी अधिकाराचा धिक्कार करतात-1	
figs-possession_3_7__1	Possession	unable to migrate selection, no match found for check in new resources	काळासाठी-1 जेव्हा तो-1 न्याय करेल-1	
figs-simile_2_12__1	Simile	unable to migrate selection, no match found for check in new resources	हे {खोटे शिक्षक} निर्बुद्ध प्राण्यासारखे आहेत जे तर्कशुद्धपणे विचार करू शकत नाहीत-1	
grammar-connect-logic-result_2_6__1	Connect — Reason-and-Result Relationship	2 duplicate migrations		
grammar-connect-words-phrases_2_10__1	Connecting Words and Phrases	unable to migrate selection, there are 2 similar checks	. {हे लोक} दैवी अधिकाराचा धिक्कार करतात-1	
translate-unknown_2_22__1	Translate Unknowns	unable to migrate selection, there are 2 similar checks	“ते डुकरांसारखे आहेत-1	
writing-pronouns_1_17__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	माझा-1 मी खूप प्रेम करतो-1 मी-3	
writing-pronouns_1_4__1	Pronouns — When to Use Them	unable to migrate selection, there are 3 similar checks	{त्याच्या तेजस्वी आणि उत्कृष्ट चारित्र्याने-1	
writing-pronouns_2_12__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	जेव्हा त्यांचा नाश होण्याची वेळ येईल तेव्हा देव त्यांचा नाश करील.-1	
writing-pronouns_2_20__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	नियंत्रण ठेवू लागल्या-1	
writing-pronouns_2_2__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	खोट्या शिक्षकांमुळे-1	
writing-pronouns_2_6__1	Pronouns — When to Use Them	2 selections duplicated 	["देवाने-1 नाशाची शिक्षा दिली-1","देवाने-1 नाशाची शिक्षा दिली-1"]	
writing-pronouns_2_6__1	Pronouns — When to Use Them	2 duplicate migrations		
writing-pronouns_3_14__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	येशूला आढळावे म्हणून {याची खात्री करण्यासाठी-1	
