Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	सच्चाई का ज्ञान-1	
figs-abstractnouns_2_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	विश्वास-1 पक्का हो-1	
figs-hendiadys_3_3__1	Hendiadys	unable to migrate selection, no match found for check in new resources	बैर-भाव, और डाह करने में जीवन निर्वाह करते थे-1	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमें-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमें-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे लिये-1	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे लोग-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हम-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	हमारे-1	
figs-metaphor_1_15__1	Metaphor	unable to migrate selection, no match found for check in new resources	पर अशुद्ध और अविश्वासियों के लिये कुछ भी शुद्ध नहीं-1	
grammar-connect-exceptions_1_14__1	Connect – Exception Clauses	unable to migrate selection, no match found for check in new resources	न-5	
