Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_11__1	Abstract Nouns	2 duplicate migrations		
figs-abstractnouns_2_23__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	स्वेच्छेची उपासना, मनाची लीनता व शरिराची उपेक्षा असल्यामुळे ह्यांत खरोखर ज्ञानीपणाची भाषा आहे-1	
figs-abstractnouns_2_23__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	शमन-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ज्ञानात-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तुम्हाला शिक्षण दिल्याप्रमाणे-1	
figs-explicit_4_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	तुम्ही अशी व्यवस्था करा की,लावदीकियाच्या मंडळीतदेखील ते वाचले जावे, आणि लावदीकियाचे तुम्ही वाचा.-1	
figs-idiom_4_9__1	Idiom	unable to migrate selection, there are 2 similar checks	तुमच्यामधला आहे.-1	
figs-metaphor_2_12__1	Metaphor	unable to migrate selection, there are 2 similar checks	त्याच्याबरोबर तुम्ही बाप्तिस्म्यात पुरले गेला-1	
figs-metaphor_2_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	उपकारस्मरण करीत-1	
figs-metaphor_2_8__1	Metaphor	unable to migrate selection, there are 2 similar checks	पोकळ फसवेपणाने-1	
figs-metaphor_3_11__1	Metaphor	unable to migrate selection, there are 3 similar checks	येथे-1	
figs-metaphor_3_5__1	Metaphor	unable to migrate selection, there are 2 similar checks	हे तुमचे पृथ्वीवरील अवयव-1	
figs-possession_2_17__1	Possession	unable to migrate selection, there are 2 similar checks	येणार्‍या गोष्टींची छाया-1	
grammar-connect-logic-goal_3_10__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, there are 2 similar checks	ज्ञानात-1	
translate-unknown_3_4__1	Translate Unknowns	unable to migrate selection, there are 2 similar checks	गौरवात-1	
