Reference	Localized Group	Message	Selections	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	అది నేనే అని అనుమానించడం మానుము; నీ నమ్మిక నా మీద ఉంచుము."-1	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	"అయ్యా, మీరు ఆయనను మోసికొనిపోయిన యెడల-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	‘నా తండ్రియు మరియు మీ తండ్రియు, నా దేవుడును మరియు మీ దేవుడునునైన వానితో ఉండుటకు నేను పరలోకానికి తిరిగి వెళ్ళబోవుచున్నాను."-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	మగ్దలేనే మరియ శిష్యుల వద్దకు వెళ్ళింది మరియు ప్రకటించింది,-1 మరియు-2 ఆమె వారికి నివేదించింది.-1	
figs-explicit_20_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	మరియు-1 లోపల ఉన్నారు ఎందుకంటే యూదుల అధికారులు వారిని బంధించవచ్చు అని వారు భయపడ్డారు.-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ఆయన తన చేతులను మరియు తన ప్రక్కను-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	నీ నమ్మిక నా మీద ఉంచుము."-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	"నేను లేచియున్నానని-1 నీవు నమ్ముచున్నావు-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	నన్ను చూడని వారికి-1	
figs-explicit_20_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	అతడు ఈ విషయములు చూచాడు మరియు యేసు నిజముగా తిరిగి సజీవుడు అయ్యాడని నమ్ముటకు మొదలుపెట్టాడు.-1	
figs-explicit_20_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	లేఖనాలలో ప్రవక్తలు వ్రాసిన దాని నుండి వారు అర్థము చేసుకోలేదు,.-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	దేవుణ్ణి ఘనపరచడం కోసం పేతురు ఏవిధంగా మరణిస్తాడో సూచించడానికి-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	“నన్ను వెంబడించు.”-1	
figs-explicit_21_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	మనకు తెలుసు-1	
figs-idiom_21_7__1	Idiom	unable to migrate selection, no match found for check in new resources	దూకాడు-1	
figs-metonymy_12_28__1	Metonymy	unable to migrate selection, no match found for check in new resources	దేవుడు పరలోకం నుండి పలికాడు-1	
figs-metonymy_12_38__1	Metonymy	unable to migrate selection, no match found for check in new resources	ప్రభువు మనలను ఏవిధంగా శక్తివంతంగా రక్షించగలడో-1	
figs-metonymy_20_31__1	Metonymy	unable to migrate selection, no match found for check in new resources	ఆయన నామములో-1 నిత్య జీవము-1	
grammar-connect-logic-goal_1_31__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	ఇశ్రాయేలు యొక్క మనుష్యులు ఆయన ఎవరో తెలుసుకోవడానికి నేను కోరుకుంటున్నాను."-1	
grammar-connect-time-sequential_3_22__1	Connect — Sequential Time Relationship	unable to migrate selection, no match found for check in new resources	ఆ సంగతులు జరిగిన తరువాత-1	
writing-background_11_5__1	Background Information	unable to migrate selection, no match found for check in new resources	ఇప్పుడు యేసు మార్తను, ఆమె సహోదరి మరియను, మరియు లాజరును ప్రేమించాడు.-1	
writing-background_1_24__1	Background Information	unable to migrate selection, no match found for check in new resources	ఈ మనుష్యులలో కొందరు పరిసయ్యుల నుండి యోహాను వద్దకు వచ్చారు-1	
