Reference	Localized Group	Message	Selections	
figs-abstractnouns_7_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ఆయన మంచివాడు.-1	
figs-doublenegatives_20_27__1	Double Negatives	unable to migrate selection, no match found for check in new resources	అవిశ్వాసివిగా ఉండ వద్దు, అయితే విశ్వసించు.-1	
figs-explicit_18_36__2	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ఈ లోకసంబంధమైనది-1	
figs-explicit_19_42__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	యూదుల సిద్ధపరచు దినము కారణంగా మరియు ఆ సమాధి సమీపములో ఉంది కనుక, వారు యేసును అక్కడ ఉంచారు-1	
figs-explicit_20_15__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	నీవు ఆయనను మోసికొనిపోయిన యెడల-1	
figs-explicit_20_17__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	'నా తండ్రి మరియు మీ తండ్రి, మరియు నా దేవుడు మరియు మీ దేవుడు వద్దకు నేను వెళ్ళు చున్నాను.'"-1	
figs-explicit_20_18__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	మగ్దలేనే మరియ వచ్చింది,-1 సంగతులు-1 శిష్యులతో చెప్పింది.-1	
figs-explicit_20_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	యూదుల యొక్క భయము-1	
figs-explicit_20_20__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ఆయన వారికి {తన} చేతులు మరియు {ఆయన} ప్రక్కను చూపించాడు-1	
figs-explicit_20_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	విశ్వసించు.-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	నీవు నమ్మావు-1	
figs-explicit_20_29__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	చూడకుండా-1	
figs-explicit_20_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	వారు ప్రభువును సమాధి నుండి తీసుకొని వెళ్ళారు,-1	
figs-explicit_20_8__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	అతడు చూసి మరియు నమ్మాడు-1	
figs-explicit_20_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	లేఖనమును వారు ఇంకా అర్థం చేసుకోలేదు.-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ఏ విధమైన మరణముతో అతడు దేవుని మహిమపరచునో సూచించాడు.-1	
figs-explicit_21_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	"నన్ను వెంబడించుము."-1	
figs-explicit_21_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	మనం యెరుగుదుము.-1	
figs-idiom_21_7__1	Idiom	unable to migrate selection, no match found for check in new resources	తన్ను తాను త్రోసి వేసుకొన్నాడు.-1	
figs-metaphor_15_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	వారు వాటిని పోగుచేస్తారు మరియు {వాటిని} అగ్నిలోనికి త్రోసివేస్తారు, మరియు అవి కాలిపోవును.-1	
figs-metonymy_12_28__1	Metonymy	unable to migrate selection, no match found for check in new resources	ఒక స్వరము ఆకాశము నుండి వచ్చింది.-1	
figs-metonymy_12_38__1	Metonymy	unable to migrate selection, no match found for check in new resources	ప్రభువు యొక్క బాహువు-1	
figs-metonymy_17_18__2	Metonymy	unable to migrate selection, no match found for check in new resources	లోకములోనికి-1 లోకములోనికి-2	
figs-metonymy_18_36__2	Metonymy	unable to migrate selection, no match found for check in new resources	ఈ లోకసం-1 ఈ లోకము-2 ఇక్కడ నుండి కాదు.-1	
figs-metonymy_20_31__1	Metonymy	unable to migrate selection, no match found for check in new resources	నామములో మీరు జీవము కలిగియుంటారు.-1	
grammar-connect-logic-goal_1_31__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	తద్వారా ఆయన ఇశ్రాయేలుకు ప్రత్యక్షమవుతాడు,-1	
grammar-connect-logic-goal_6_52__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	తినడానికి-1	
grammar-connect-logic-goal_9_39__1	Connect — Goal (Purpose) Relationship	unable to migrate selection, no match found for check in new resources	చూడనివారు చూస్తారు మరియు చూచువారు గ్రుడ్డివారు అవుతారు.-1	
