Reference	Localized Group	Message	Selections	
figs-123person_12_2__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	मैं मसीह में एक मनुष्य को जानता हूँ-1 र्थात् ऐसा {मनुष्य} 14 वर्ष पहले तीसरे स्वर्ग तक उठा लिया गया था।-1	
figs-123person_12_3__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	मैं ऐसे मनुष्य को जानता हूँ-1	
figs-123person_12_4__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	वह स्वर्गलोक में उठा लिया गया और उसने बयान न की जा सकने वाली ऐसी बातें सुनीं जिन्हें बोलने की अनुमति किसी मनुष्य को नहीं दी गई है।-1	
figs-123person_12_5__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	से {मनुष्य} पर तो मैं घमंड करूँगा। परन्तु स्वयं के विषय में तो मैं-1 और किसी बात पर घमंड नहीं करूँगा।-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आशा रखते हैं कि {जैसे-जैसे} तुम्हारा विश्वास बढ़े-1	
figs-abstractnouns_10_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	बहुतायत की-1	
figs-abstractnouns_10_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उस भरोसे के साथ-1 जिसके द्वारा-1	
figs-abstractnouns_10_4__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	हमारे युद्ध के-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परमेश्वर के ज्ञान-1	
figs-abstractnouns_10_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मसीह का आज्ञाकारी-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	तैयार-1	
figs-abstractnouns_10_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आज्ञा न मानने वाले हर एक काम का पलटा लेने को तैयार रहते हैं।-1	
figs-abstractnouns_10_7__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उसी के अनुसार-1	
figs-abstractnouns_10_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उस अधिकार के विषय में-1 जिसे प्रभु ने-1 प्रदान किया है-1	
figs-abstractnouns_11_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मुझ में मसीह की सच्चाई है-1	
figs-abstractnouns_11_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जो लोग अवसर की अभिलाषा रखते हैं उनके अवसर को-1	
figs-abstractnouns_11_15__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	धार्मिकता के सेवकों-1	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मूर्खता की-1 पर-2	
figs-abstractnouns_11_17__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	इस घमंड की स्थिति में-1	
figs-abstractnouns_11_1__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	थोड़ी सी मूर्खता-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपमान के अनुसार-1	
figs-abstractnouns_11_21__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मूर्खता की-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	बार-बार कैद होने में-1	
figs-abstractnouns_11_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मृत्यु {के जोखिम} में-1	
figs-abstractnouns_11_26__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	नदियों के जोखिमों में, डाकुओं के जोखिमों में, {मेरे ही} देशवासियों से जोखिमों में, अन्यजातियों से जोखिमों में, नगर के जोखिमों में, जंगल के जोखिमों में, समुद्र के जोखिमों में, झूठे भाइयों की ओर से जोखिमों में;-1	
figs-abstractnouns_11_27__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कठिन परिश्रम और कष्ट में, अक्सर अनिद्रा में, भूख और प्यास में, अक्सर उपवास करने में, जाड़े और नंगाई में;-1	
figs-abstractnouns_11_28__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	मेरी हर दिन की जो चिंता है, वह सब कलीसियाओं के विषय में है।-1	
figs-abstractnouns_11_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ईश्वरीय जलन के द्वारा-1	
figs-abstractnouns_11_30__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपनी निर्बलता की बातों-1	
figs-abstractnouns_11_31__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अनन्तकाल से-1	
figs-abstractnouns_11_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपनी चतुराई से-1	
figs-abstractnouns_11_3__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	उस सिधाई और पवित्रता से-1 जो} मसीह के साथ है-1	
figs-abstractnouns_11_6__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	इस ज्ञान में-1	
figs-abstractnouns_12_10__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	निर्बलताओं में, अपमानों में, कष्टों में, उपद्रवों और क्लेशों में-1	
figs-abstractnouns_12_12__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	बड़े धीरज के साथ-1	
figs-abstractnouns_12_13__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	यह अन्याय-1	
figs-abstractnouns_12_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	छलपूर्वक-1	
figs-abstractnouns_12_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	अपनी निर्बलताओं को-1	
