Reference	Localized Group	Message	Selections	
figs-activepassive_2_11__1	Active or Passive	unable to migrate selection, no match found for check in new resources	আজ, রাজা দায়ূদের নগরে, বেথলেহেমে, সেই ব্যক্তির জন্ম হয়েছে যিনি তোমাদেরকে {তোমাদের পাপ থেকে} রক্ষা করবেন! তিনি সেই মশীহ, প্রভু!-1	
figs-nominaladj_13_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	পরের বছর-1 আমরা এটিকে বাড়তে দিতে পারি-1 ততক্ষণে-1	
figs-nominaladj_15_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	হারিয়ে যাওয়া ভেড়ার-1	
figs-nominaladj_17_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	যা ঈশ্বর তোমাদের করতে বলেছেন-1	
figs-nominaladj_17_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	কাজ-1 যা তাকে করতে বলা হয়েছিল!-1	
figs-nominaladj_19_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	লোকদের-1 তোমার মত} যারা ঈশ্বরের অবাধ্য হয়েছে৷-1	
figs-nominaladj_23_47__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	যখন-1 দেখলেন কি ঘটল-1	
figs-nominaladj_23_48__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	যখন-1 দেখতে পেল যে আসলে কি ঘটছে-1	
figs-nominaladj_24_18__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ঘটে যাওয়া ঘটনাগুলির-1	
figs-nominaladj_24_44__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	আমার সম্বন্ধে {, মশীহ সমন্ধে} যা বলেছিলেন-1	
