Reference	Localized Group	Message	Selections	
figs-abstractnouns_5_20__1	Abstract Nouns	2 duplicate migrations		
figs-explicit_1_1__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	देवाचे वचन, येशूबद्दल लिहित आहे.-1	
figs-explicit_2_19__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	ते खरोखर आमच्याशी संबंधित नव्हते.-1 ते सर्व आमच्याबरोबर कधीच सामील झाले नाहीत.-1	
figs-idiom_4_6__1	Idiom	2 duplicate migrations		
figs-metaphor_1_7__1	Metaphor	unable to migrate selection, there are 4 similar checks	देव आपल्याला क्षमा करतो आणि आपला स्वीकार करतो-1	
figs-metaphor_2_10__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_24__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुम्ही सतत विश्वास ठेवला पाहिजे आणि तुम्ही-1 तुम्ही असे केले-1	
figs-metaphor_2_27__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_14__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_6__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_9__1	Metaphor	2 duplicate migrations		
figs-metaphor_3_9__1	Metaphor	unable to migrate selection, there are 3 similar checks	लोक देवाची मुले झाले असतील-1 कारण देवाने त्यांना आपली मुले बनवले आहेत,-1	
figs-metaphor_5_12__1	Metaphor	unable to migrate selection, there are 2 similar checks	ते सदैव देवासोबत जगू लागले आहेत.-1 सदासर्वकाळ जगण्यास सुरुवात केलेली नाही.-1	
figs-metaphor_5_16__1	Metaphor	unable to migrate selection, there are 3 similar checks	देव त्या व्यक्तीला स्वतःच्या जवळच्या सहवासात परत आणेल.-1	
figs-metaphor_5_20__1	Metaphor	2 duplicate migrations		
figs-metaphor_5_6__1	Metaphor	unable to migrate selection, there are 2 similar checks	पाण्यात पाठवले असे नाही तर येशूचे रक्त त्याच्या शरीरातून वाहत असताना-1	
writing-pronouns_1_5__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	येशू-1	
writing-pronouns_2_27__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	येशूकडून-1	
writing-pronouns_3_3__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	येशूला खरोखरच पाहण्याची आशा बाळगतात ते-1	
