Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭର ଉନ୍ନତି ନିମନ୍ତେ-1	
figs-abstractnouns_1_28__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେମାନଙ୍କ ପାଇଁ-1 ଏକ ଚିହ୍ନ-1	
figs-abstractnouns_1_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଜ୍ଞାନରେ ଏବଂ ସମସ୍ତ ସୁକ୍ଷ୍ମବିଚାରରେ-1	
figs-abstractnouns_2_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଏପରିକି କ୍ର‌ୁଶ ଉପରେ ମୃତ୍ୟୁ ପର୍ଯ୍ୟନ୍ତ-1	
figs-ellipsis_1_30__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ମୋଠାରୁ-1	
figs-ellipsis_2_1__2	Ellipsis	unable to migrate selection, no match found for check in new resources	ଯଦି-1 ଥାଏ-1 କୌଣସି-2	
figs-ellipsis_2_1__2	Ellipsis	unable to migrate selection, no match found for check in new resources	ଯଦି-1 କୌଣସି-1 ଥାଏ-1	
figs-ellipsis_2_1__3	Ellipsis	unable to migrate selection, no match found for check in new resources	ଯଦି-1 କୌଣସି-1 ଥାଏ-1	
figs-explicit_1_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ବାକ୍ୟ ପ୍ରଚାର କରିବାକୁ ଅଧିକ ନିର୍ଭୟରେ ସାହାସୀ ହୋଇ-1 ଭାଇମାନଙ୍କ ମଧ୍ୟରୁ ଅଧିକାଂଶ ମୋହର ବନ୍ଧନ ଦ୍ଵାରା ପ୍ରଭୁଙ୍କଠାରେ ଉତ୍ସାହିତ ହୋଇଛନ୍ତି-1	
figs-explicit_1_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୋହର ବନ୍ଧନ ଦ୍ଵାରା ପ୍ରଭୁଙ୍କଠାରେ ଉତ୍ସାହିତ ହୋଇଛନ୍ତି-1	
figs-explicit_1_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମାତ୍ର ଶରୀରରେ ରହିବା-1	
figs-explicit_1_30__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୋଠାରେ ଦେଖିଲ ଏବଂ ବର୍ତ୍ତମାନ ମୋଠାରୁ ଶୁଣୁଅଛ-1	
figs-extrainfo_1_25__1	When to Keep Information Implicit	unable to migrate selection, no match found for check in new resources	ମୁଁ ଜୀବିତ ରହିବି-1	
figs-extrainfo_1_28__1	When to Keep Information Implicit	unable to migrate selection, no match found for check in new resources	ଏହା ଈଶ୍ବରଙ୍କଠାରୁ ଅଟେ-1	
figs-hendiadys_1_20__1	Hendiadys	unable to migrate selection, no match found for check in new resources	ଦୃଢ଼ ଆକାଂକ୍ଷା ଅନୁସାରେ ଓ ଆଶା କରେ-1	
figs-merism_4_12__1	Merism	unable to migrate selection, no match found for check in new resources	ତୃପ୍ତ ହେବାକୁ ଏବଂ କ୍ଷୁଧିତ ହେବାକୁ-1	
figs-merism_4_12__1	Merism	unable to migrate selection, no match found for check in new resources	ପରିପୂର୍ଣ୍ଣ ହେବାକୁ ଏବଂ ଅଭାବରେ ରହିବାକୁ-1	
figs-metaphor_4_14__1	Metaphor	unable to migrate selection, no match found for check in new resources	ମୋହର କ୍ଲେଶରେ-1	
figs-metaphor_4_3__1	Metaphor	unable to migrate selection, no match found for check in new resources	ହେ ପ୍ରକୃତ ସାଥୀଗଣ-1	
figs-metonymy_1_7__1	Metonymy	unable to migrate selection, no match found for check in new resources	ମୁଁ ତୁମ୍ଭମାନଙ୍କୁ ମୋହର ହୃଦୟରେ ରଖିଅଛି-1	
figs-metonymy_4_15__1	Metonymy	unable to migrate selection, no match found for check in new resources	ସୁସମାଚାର କାର୍ଯ୍ୟର ଆରମ୍ଭରେ-1	
figs-metonymy_4_1__1	Metonymy	unable to migrate selection, no match found for check in new resources	ମୋର ଆନନ୍ଦ ଓ ମୁକୁଟ-1	
figs-metonymy_4_2__1	Metonymy	unable to migrate selection, no match found for check in new resources	ପ୍ରଭୁଙ୍କଠାରେ ସମଭାବେ ଚିନ୍ତା କରିବାକୁ-1	
figs-metonymy_4_7__1	Metonymy	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭମାନଙ୍କ ହୃଦୟ ଓ ତୁମ୍ଭମାନଙ୍କ ମନକୁ-1 ଖ୍ରୀଷ୍ଟଙ୍କଠାରେ ସୁରକ୍ଷିତ ରଖିବ-1	
figs-parallelism_4_12__1	Parallelism	unable to migrate selection, no match found for check in new resources	ମୁଁ ତୃପ୍ତ ହେବାକୁ ଏବଂ କ୍ଷୁଧିତ ହେବାକୁ, ଏବଂ ପରିପୂର୍ଣ୍ଣ ହେବାକୁ ଏବଂ ଅଭାବରେ ରହିବାକୁ-1	
figs-personification_4_7__1	Personification	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭମାନଙ୍କ ହୃଦୟ ଓ ତୁମ୍ଭମାନଙ୍କ ମନକୁ-1 ଖ୍ରୀଷ୍ଟଙ୍କଠାରେ ସୁରକ୍ଷିତ ରଖିବ-1	
figs-synecdoche_1_24__1	Synecdoche	unable to migrate selection, no match found for check in new resources	ଶରୀରରେ-1	
figs-yousingular_1_28__1	Forms of ‘You’ — Singular	unable to migrate selection, no match found for check in new resources	କୌଣସି ବିଷୟରେ ତ୍ରାସଯୁକ୍ତ ହୁଅ ନାହିଁ-1	
figs-yousingular_2_5__1	Forms of ‘You’ — Singular	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭମାନଙ୍କ-1	
translate-unknown_1_13__1	Translate Unknowns	unable to migrate selection, no match found for check in new resources	ରାଜଗୃହ ପ୍ରହରୀଦଳ-1	
