Reference	Localized Group	Message	Selections	
bita-hq_1_21__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	nome-1	
bita-hq_1_22__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	sobre todas as coisas-1	
bita-hq_1_23__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	Seu corpo-1	
bita-hq_2_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	em um só corpo-1	
bita-hq_3_17__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	para que Cristo possa viver em vosso coração pela fé-1	
bita-hq_3_6__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	membros do corpo-1	
bita-hq_4_12__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	do corpo de Cristo-1	
bita-hq_4_15__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	em direção a Ele, que é a cabeça-1	
bita-hq_4_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	todo o corpo-1 faz o corpo crescer-1	
bita-hq_4_16__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	pela ajuda de ligamentos-1	
bita-hq_4_25__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	nós somos membros uns dos outros-1	
bita-hq_4_4__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	Existe um corpo-1	
bita-hq_5_19__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	com todo o vosso coração-1	
bita-hq_5_20__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	em nome de nosso Senhor Jesus Cristo-1	
bita-hq_5_23__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	cabeça da esposa-1 cabeça da Igreja-1	
bita-hq_5_23__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	do corpo-1	
bita-hq_5_30__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	somos membros do Seu corpo-1	
bita-hq_6_22__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	que ele conforte o vosso coração-1	
bita-hq_6_5__1	Biblical Imagery — Body Parts and Human Qualities	unable to migrate selection, no match found for check in new resources	na honestidade do vosso coração-1	
figs-explicit_6_12__1	Assumed Knowledge and Implicit Information	2 duplicate migrations		
figs-inclusive_1_5__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nos predestinou para adoção-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	nossa paz-1	
figs-inclusive_2_18__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	por-1 Jesus, ambos temos acesso-1	
