Reference	Localized Group	Message	Selections	
figs-123person_2_10__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	దేవుడు మనుష్యుని యొక్క కుమారునికి-1	
figs-activepassive_1_14__1	Active or Passive	unable to migrate selection, no match found for check in new resources	యేసు గలిలయ ప్రాంతానికి వెళ్ళాడు-1	
figs-activepassive_1_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	దేవుడు ఇప్పుడు మీరు తన రాజ్యంలో భాగం అయ్యేలా చేస్తున్నాడు-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	అప్పుడు-1	
figs-doublenegatives_6_8__1	Double Negatives	unable to migrate selection, no match found for check in new resources	వారు ప్రయాణించేటప్పుడు-1 నడిపించే కర్రను వెంట తీసుకువెళ్లాలని కూడా-1	
figs-doublet_14_68__1	Doublet	unable to migrate selection, no match found for check in new resources	“నీవు ఏమి మాట్లాడుచున్నావో నాకు తెలియడం లేదు లేదా అర్థం కావడం లేదు!”-1	
figs-ellipsis_15_11__1	Ellipsis	unable to migrate selection, no match found for check in new resources	తమ కోసం యేసుకు బదులు బరబ్బను విడుదల చేయుము అని పిలాతును అభ్యర్థించుటకు-1	
figs-euphemism_11_30__1	Euphemism	unable to migrate selection, no match found for check in new resources	అధికారం ఇచ్చింది దేవుడా-1	
figs-euphemism_11_31__1	Euphemism	unable to migrate selection, no match found for check in new resources	అతనికి అధికారం ఇచ్చింది దేవుడు-1	
figs-euphemism_5_39__1	Euphemism	unable to migrate selection, no match found for check in new resources	బిడ్డ చనిపోలేదు, అయితే కేవలం నిద్రపోవుచున్నది.-1	
figs-euphemism_6_25__1	Euphemism	unable to migrate selection, no match found for check in new resources	తలను నరికి వేయుటకు మరియు వడ్డించే పళ్ళెములో ఇప్పుడే నా దగ్గరకు తీసుకురావాలని నీవు ఎవరికైనా ఆజ్ఞాపించుటకు కోరుచున్నాను!”-1	
figs-euphemism_6_27__1	Euphemism	unable to migrate selection, no match found for check in new resources	యోహాను యొక్క తలను-1 అమ్మాయి దగ్గరకు తీసుకురావాలని ఆజ్ఞాపించాడు.-1	
