Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ସେମାନେ-1 ଖ୍ରୀଷ୍ଟ ଯୀଶୁଙ୍କଠାରେ ଥିବା ପରିତ୍ରାଣ ମଧ୍ୟ ପାଇପାରିବେ।-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ଧୈର୍ଯ୍ୟ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ସଙ୍କଳ୍ପ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ବିଶ୍ୱାସ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ସହିଷ୍ଣୁତା-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ପ୍ରେମ-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	ଧୈର୍ଯ୍ୟ-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	କଳ୍ପିତ କାହାଣୀଗୁଡ଼ିକ ପ୍ରତି ମନ ଦେବେ।-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	ଉଭୟ ସେମାନଙ୍କର କର୍ଣ୍ଣ ସତ୍ୟଠାରୁ ଫେରିବେ-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, there are 2 similar checks	ସବୁ ହିତଜନକ ବାକ୍ୟ-1	
