Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_25__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭର ଉନ୍ନତି ନିମନ୍ତେ-1	
figs-abstractnouns_1_28__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ସେମାନଙ୍କ ପାଇଁ-1 ଏକ ଚିହ୍ନ-1	
figs-abstractnouns_1_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଜ୍ଞାନରେ ଏବଂ ସମସ୍ତ ସୁକ୍ଷ୍ମବିଚାରରେ-1	
figs-abstractnouns_2_8__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	ଏପରିକି କ୍ର‌ୁଶ ଉପରେ ମୃତ୍ୟୁ ପର୍ଯ୍ୟନ୍ତ-1	
figs-activepassive_3_21__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଆପଣା ଗୌରବମୟ ଶରୀର-1 ଆପଣା ଶକ୍ତିର କାର୍ଯ୍ୟ ଅନୁସାରେ ସମସ୍ତ ବିଷୟ ସୁଦ୍ଧା ଆପଣା ଅଧିନସ୍ଥ କରିବେ ।-1	
figs-ellipsis_1_30__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ମୋଠାରୁ-1	
figs-ellipsis_2_1__2	Ellipsis	unable to migrate selection, no match found for check in new resources	ଯଦି-1 ଥାଏ-1 କୌଣସି-2	
figs-ellipsis_2_1__2	Ellipsis	unable to migrate selection, no match found for check in new resources	ଯଦି-1 କୌଣସି-1 ଥାଏ-1	
figs-ellipsis_2_1__3	Ellipsis	unable to migrate selection, no match found for check in new resources	ଯଦି-1 କୌଣସି-1 ଥାଏ-1	
figs-explicit_1_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ବାକ୍ୟ ପ୍ରଚାର କରିବାକୁ ଅଧିକ ନିର୍ଭୟରେ ସାହାସୀ ହୋଇ-1 ଭାଇମାନଙ୍କ ମଧ୍ୟରୁ ଅଧିକାଂଶ ମୋହର ବନ୍ଧନ ଦ୍ଵାରା ପ୍ରଭୁଙ୍କଠାରେ ଉତ୍ସାହିତ ହୋଇଛନ୍ତି-1	
figs-explicit_1_14__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୋହର ବନ୍ଧନ ଦ୍ଵାରା ପ୍ରଭୁଙ୍କଠାରେ ଉତ୍ସାହିତ ହୋଇଛନ୍ତି-1	
figs-explicit_1_24__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମାତ୍ର ଶରୀରରେ ରହିବା-1	
figs-explicit_1_30__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ମୋଠାରେ ଦେଖିଲ ଏବଂ ବର୍ତ୍ତମାନ ମୋଠାରୁ ଶୁଣୁଅଛ-1	
figs-explicit_2_27__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଦୁଃଖ ଉପରେ ଦୁଃଖ-1	
figs-extrainfo_1_25__1	When to Keep Information Implicit	unable to migrate selection, no match found for check in new resources	ମୁଁ ଜୀବିତ ରହିବି-1	
figs-extrainfo_1_28__1	When to Keep Information Implicit	unable to migrate selection, no match found for check in new resources	ଏହା ଈଶ୍ବରଙ୍କଠାରୁ ଅଟେ-1	
figs-hendiadys_1_20__1	Hendiadys	unable to migrate selection, no match found for check in new resources	ଦୃଢ଼ ଆକାଂକ୍ଷା ଅନୁସାରେ ଓ ଆଶା କରେ-1	
figs-hyperbole_3_2__1	Hyperbole	unable to migrate selection, no match found for check in new resources	ସୁନ୍ନତବାଦୀମାନଙ୍କ-1	
figs-hypo_3_4__1	Hypothetical Situations	unable to migrate selection, no match found for check in new resources	ଯଦିଚ-1	
figs-idiom_3_9__1	Idiom	unable to migrate selection, no match found for check in new resources	ତାଙ୍କଠାରେ ଦେଖାଯିବି-1	
figs-imperative_2_5__1	Imperatives — Other Uses	unable to migrate selection, no match found for check in new resources	ଏହି ମନୋଭାବ ରଖ-1	
figs-irony_3_2__1	Irony	unable to migrate selection, no match found for check in new resources	କୁକୁରମାନଙ୍କ-1	
figs-merism_4_12__1	Merism	unable to migrate selection, no match found for check in new resources	ତୃପ୍ତ ହେବାକୁ ଏବଂ କ୍ଷୁଧିତ ହେବାକୁ-1	
figs-merism_4_12__1	Merism	unable to migrate selection, no match found for check in new resources	ପରିପୂର୍ଣ୍ଣ ହେବାକୁ ଏବଂ ଅଭାବରେ ରହିବାକୁ-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	ପିତା ଈଶ୍ବରଙ୍କ ମହିମା ନିମନ୍ତେ-1	
figs-metaphor_2_16__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଜୀବନର ବାକ୍ୟ ଧାରଣ କରିଅଛ-1	
figs-metaphor_2_17__1	Metaphor	unable to migrate selection, no match found for check in new resources	କିନ୍ତୁ ଯଦି ତୁମ୍ଭମାନଙ୍କ ବିଶ୍ବାସର ସେବାରେ ଓ ବଳୀଦାନରେ ପେୟ ନୈବେଦ୍ୟ ସ୍ବରୁପ ଢଳାଯାଏ, ମୁଁ ଆନନ୍ଦିତ ଅଟେ ଓ ତୁମ୍ଭମାନଙ୍କ ସମସ୍ତଙ୍କ ସହିତ ଉଲ୍ଲସିତ-1	
figs-metaphor_2_30__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଏପରିକି ସେ ମୃତ୍ୟୁର ନିକଟବର୍ତ୍ତୀ ହେଲେ-1	
figs-metaphor_2_30__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଯେପରି ସେ ମୋ' ପ୍ରତି ତୁମ୍ଭମାନଙ୍କ ସେବାର ଅଭାବ ପୂରଣ କରି ପାରିବେ-1	
