Reference	Localized Group	Message	Selections	
 grammar-connect-logic-result_2_2__1	 grammar-connect-logic-result	unable to migrate selection, no match found for check in new resources	त्यांच्यामुळे-1	
figs-123person_1_1__1	First, Second or Third Person	unable to migrate selection, there are 2 similar checks	ज्यांना-1 प्राप्त झाला आहे-1	
figs-abstractnouns_1_1__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	ज्यांना-1 आपल्या बरोबरीचा विश्वास प्राप्त झाला आहे:-1	
figs-abstractnouns_1_3__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	गौरवाने व उत्कृष्टतेने-1	
figs-abstractnouns_1_4__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	भ्रष्टतेतून-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	ज्ञान,-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	सुभक्ती,-1	
figs-abstractnouns_1_6__1	Abstract Nouns	unable to migrate selection, there are 4 similar checks	धीर-1 धीरात-1	
figs-abstractnouns_1_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	बंधुप्रेम-1 बंधुप्रेमात-1	
figs-abstractnouns_2_16__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	त्याने-1 फटकारले-1	
figs-abstractnouns_2_7__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	वागणे पाहून-1	
figs-abstractnouns_3_15__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	प्रभूच्या सहनशीलता-1	
figs-abstractnouns_3_18__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	त्याला-1 गौरव-1	
figs-abstractnouns_3_2__1	Abstract Nouns	unable to migrate selection, there are 3 similar checks	प्रभु आणि तारणहार याच्या आज्ञेची-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, there are 2 similar checks	सुष्टीतत्वे जळून नष्ट होतील-1	
figs-activepassive_3_12__1	Active or Passive	2 duplicate migrations		
figs-activepassive_3_5__1	Active or Passive	unable to migrate selection, there are 2 similar checks	पृथ्वी-1 देवाच्या शब्दाने निर्माण झाली.-1	
figs-activepassive_3_7__1	Active or Passive	unable to migrate selection, there are 2 similar checks	सध्याचे आकाश आणि पृथ्वी, त्याच शब्दाने, अग्नीसाठी राखून ठेवण्यात आले आहेत,-1	
figs-ellipsis_2_14__1	Ellipsis	unable to migrate selection, no match found for check in new resources	पापापासून दूर राहवत नाही-1	
figs-exclusive_1_16__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	आम्ही कळवले-1	
figs-exclusive_1_3__1	Exclusive and Inclusive ‘We’	unable to migrate selection, there are 2 similar checks	आम्हांला-1	
figs-explicit_2_16__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 3 similar checks	त्याने-1 फटकारले-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	पुष्कळ-1	
figs-explicit_2_4__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	त्याने-1 हाती दिले-1	
figs-infostructure_2_18__1	Information Structure	unable to migrate selection, no match found for check in new resources	कारण, उद्धटपणाच्या व्यर्थ गोष्टी बोलून, ते देहाच्या लालसेने, कामूतूरपणाच्या कृत्याने, जे चुकीने वागतात त्या लोकांपासून क्वचितच सुटतात.-1	
figs-metaphor_1_13__1	Metaphor	unable to migrate selection, there are 2 similar checks	जोपर्यंत मी या मंडपात आहे-1	
figs-metaphor_2_15__1	Metaphor	unable to migrate selection, there are 4 similar checks	बौराचा पुत्र बलाम-1 मार्गाने-1	
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	जर,-1 जगाच्या अशुद्धतेपासून सुटका केल्यावर-1	
figs-metaphor_2_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	हाती दिले-1	
figs-metaphor_3_17__1	Metaphor	unable to migrate selection, there are 2 similar checks	यासाठी की, तुम्ही-1 स्वतःची स्थिरता गमावू नये.-1	
figs-metaphor_3_1__1	Metaphor	unable to migrate selection, there are 2 similar checks	तुमच्या शुद्ध बुध्दीला-1	
figs-metonym_2_10__1	figs-metonym	unable to migrate selection, no match found for check in new resources	देहाच्या-1	
figs-possession_3_7__1	Possession	unable to migrate selection, no match found for check in new resources	न्यायाच्या दिवसासाठी-1	
grammar-connect-logic-result_2_6__1	Connect — Reason-and-Result Relationship	2 duplicate migrations		
grammar-connect-words-phrases_2_10__1	Connecting Words and Phrases	unable to migrate selection, there are 2 similar checks	परंतु-1	
translate-unknown_2_22__1	Translate Unknowns	unable to migrate selection, there are 2 similar checks	डुक्कर-1	
writing-pronouns_1_17__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	माझा-1 माझा प्रिय आहे-1 स्वतः-1	
writing-pronouns_1_4__1	Pronouns — When to Use Them	unable to migrate selection, there are 3 similar checks	त्या-2	
writing-pronouns_2_12__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	हि माणसे-1	
writing-pronouns_2_20__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	या गोष्टी-1	
writing-pronouns_2_2__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	त्यांच्यामुळे-1	
writing-pronouns_3_14__1	Pronouns — When to Use Them	unable to migrate selection, there are 2 similar checks	, या गोष्टींची-1	
