Reference	Localized Group	Message	Selections	
figs-activepassive_1_26__1	Active or Passive	unable to migrate selection, there are 2 similar checks	देवाने हा संदेश-1 गुप्त ठेवला होता.-1	
figs-activepassive_2_12__1	Active or Passive	unable to migrate selection, there are 2 similar checks	तेव्हा पित्याने तुम्हाला पुन्हा जिवंत केले-1	
figs-explicit_1_28__1	Assumed Knowledge and Implicit Information	unable to migrate selection, there are 2 similar checks	या प्रत्येक व्यक्ती मसीहाशी असलेल्या संबंधात आध्यात्मिकरीत्या प्रौढ होऊ शकेल.-1	
figs-idiom_3_1__1	Idiom	unable to migrate selection, there are 2 similar checks	तुम्ही स्वर्गात जे काही आहे त्या-1	
figs-metaphor_1_10__1	Metaphor	unable to migrate selection, there are 2 similar checks	देवाला काय हवे आहे ते तुम्हाला समजावे अशी आम्ही प्रार्थना करीत आहोत) म्हणजे परमेश्वराचा सन्मान होईल आणि त्याला सर्व प्रकारे प्रसन्न करता येईल अशा पद्धतीने तुम्ही जगू शकाल.-1	
figs-metaphor_1_12__1	Metaphor	2 duplicate migrations		
figs-metaphor_1_22__1	Metaphor	2 duplicate migrations		
figs-metaphor_1_24__1	Metaphor	unable to migrate selection, there are 2 similar checks	मसीहाने आपल्या लोकांच्या वतीने सहन केलेल्या दुःखाला पूर्ण करण्यासाठी मी शारीरिक त्रास सहन करत आहे, मंडळी, जे मसीहाच्या स्वतःच्या शरीरासारखे आहे-1	
figs-metaphor_2_10__1	Metaphor	unable to migrate selection, there are 2 similar checks	याव्यतिरिक्त, तुमच्याकडे आवश्यक असलेले सर्व काही आहे कारण देवाने तुम्हाला मसीहाशी-1	
figs-metaphor_2_12__1	Metaphor	unable to migrate selection, there are 2 similar checks	देवाने तुमच्यासाठी काय केले आहे हे समजून घेण्याचा आणखी एक मार्ग येथे आहे:} जेव्हा त्यांनी तुम्हाला बाप्तिस्मा दिला, तेव्हा जणू काही {तुम्ही मरण पावला आणि लोकांनी तुम्हाला पुरले [कारण देवाने पित्याने तुझा समावेश केला होता] जेव्हा {मसीहा मरण पावला आणि लोकांनी त्याला पुरले.आणि जणू काही देवाने मसीहाला पुन्हा जिवंत केले तेव्हा पित्याने तुम्हाला पुन्हा जिवंत केले [कारण त्याने तुझा समावेश केला] .-1	
figs-metaphor_2_13__1	Metaphor	unable to migrate selection, there are 3 similar checks	तुम्ही आत्मिकरीत्या मेलेले होता-1	
figs-metaphor_2_14__1	Metaphor	unable to migrate selection, there are 3 similar checks	देवाने हे साध्य केले, जेव्हा मसीहा वधस्तंभावर मरण पावला, जणू काही या यादीला वधस्तंभावर खिळून त्याने रद्द केले.-1	
figs-metaphor_2_18__1	Metaphor	unable to migrate selection, there are 3 similar checks	कारण ते केवळ मानवी मार्गांनीच विचार करतात. देव तुम्हाला जे द्यायला तयार आहे ते हिरावून घेण्याचा प्रयत्न करणाऱ्या या लोकांचे ऐकू नका.-1	
figs-metaphor_2_19__1	Metaphor	2 duplicate migrations		
figs-metaphor_2_20__1	Metaphor	unable to migrate selection, there are 2 similar checks	मसीहा मरण पावला तेव्हा जणू काही तुम्ही मरण पावला आहात, {कारण देवाने तुमचा त्यामध्ये समावेश केला आहे. {हे आपल्याला या जगावर राज्य करणाऱ्या आत्मिक गोष्टींपासून मुक्त करते.-1	
figs-metaphor_2_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	{त्यातही समावेश आहेच} पूर्णपणे त्याच्यावर अवलंबून राहणे, जसे एखादे घर त्याच्या पायावर उभे राहते. एपफ्रासने जसे तुम्हाला शिकवले त्याप्रमाणे मसीहावर विश्वासाने भरवसा ठेवणे आणि अधिकाधिक उपकारस्मरण करत त्यामध्ये वाढत जा.-1	
figs-metaphor_2_8__1	Metaphor	unable to migrate selection, there are 2 similar checks	जो कोणी तुम्हाला दूर नेण्याचा प्रयत्न करेल तो पोकळ आणि फसव्या मानवी विचारसरणीचा वापर करेल. [-1	
figs-metaphor_3_14__1	Metaphor	unable to migrate selection, there are 2 similar checks	देवाने जसे तुम्हाला हे करण्यास बोलावले आहे, तसेच तुम्हीही असे करण्याद्वारे तुम्ही स्वतःला एकत्र आणू शकता.-1	
figs-metaphor_3_3__1	Metaphor	unable to migrate selection, there are 2 similar checks	पण तुम्ही आत्मिकरीत्या जिवंत आहात, कारण देवाने तुम्हाला मसीहामध्ये स्वतःशी घनिष्ट नातेसंबंधात जोडून घेतले आहे आणि हे आताच पृथ्वीवर पाहता येणार नाही.-1	
figs-metaphor_3_7__1	Metaphor	unable to migrate selection, there are 2 similar checks	त्यांच्या प्रमाणेच तुम्हीही पूर्वी त्या वासनांत जगत होता तेव्हा त्यांमध्ये तुम्ही चालत होता.-1	
figs-metaphor_4_5__1	Metaphor	unable to migrate selection, there are 2 similar checks	प्रत्येक संधीचा लाभ घ्या { तुम्हाला हे करावेच लागेल }.-1	
figs-metonymy_1_5__1	Metonymy	unable to migrate selection, there are 2 similar checks	संदेश ऐकला,-1	
figs-metonymy_3_15__1	Metonymy	2 duplicate migrations		
figs-metonymy_3_16__1	Metonymy	unable to migrate selection, there are 2 similar checks	सुज्ञतेने-1	
figs-metonymy_4_3__1	Metonymy	unable to migrate selection, there are 2 similar checks	मी आता तुरुंगात आहे.-1	
