Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	कृपा आणि शांती तुम्हाला बहुगुणित होवो.-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	देवाच्या सामर्थ्याने-1	
figs-abstractnouns_4_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	चांगले कार्य-1	
figs-doublet_3_4__1	Doublet	unable to migrate selection, no match found for check in new resources	अंत:करणात-1 मनुष्यपणाची-1	
figs-explicit_2_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	समाचाराच्या दिवशी-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	तुम्ही तारणाच्या प्राप्तीसाठी वाढू शकाल,-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	निवडलेली-1 मोल्यवान, दगड-1	
figs-explicit_3_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	आशीर्वाद-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	पूर्ण आशा धरा.-1	
figs-idiom_4_7__1	Idiom	unable to migrate selection, no match found for check in new resources	सावध असा-1	
figs-idiom_5_8__1	Idiom	unable to migrate selection, no match found for check in new resources	सावध असा-1	
figs-metaphor_1_20__1	Metaphor	unable to migrate selection, no match found for check in new resources	तुमच्यासाठी-1 प्रकट झाले-1	
figs-metaphor_1_4__1	Metaphor	unable to migrate selection, no match found for check in new resources	अविनाशी आणि अशुद्ध आणि अविचल वारशामध्ये,-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	देहवासनां-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	आत्म्याशी युद्ध करणार्‍या-1	
figs-metaphor_2_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	नवजात बालकांप्रमाणे, शुद्ध तर्कशुद्ध दुधाची आकांक्षा बाळगा,-1	
figs-metaphor_2_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	असे शास्त्रात लिहीलेले आहे-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	कारण परमेश्वराचे नेत्र नीतिमान जनांवर {आहेत},-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	पण परमेश्वराचे मुख वाईट करणार्‍यांच्या विरुद्ध {असते}.”-1	
figs-metonymy_1_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	कारण, “सर्व देह गवतासारखा{आहे},-1	
figs-personification_3_20__1	Personification	unable to migrate selection, no match found for check in new resources	देवाच्या सहनशीलतेची वाट पाहत असताना-1	
figs-personification_4_8__1	Personification	unable to migrate selection, no match found for check in new resources	कारण प्रेम अनेक पापांना झाकून टाकते.-1	
grammar-connect-logic-result_3_7__1	Connect — Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	जेणेकरून-1	
