Reference	Localized Group	Message	Selections	
figs-activepassive_2_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭେମାନେ-1 ଉତ୍ଥାପିତ ହେଲ-1	
figs-activepassive_3_12__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ଈଶ୍ବରଙ୍କ ମନୋନୀତ, ପବିତ୍ର ଓ ପ୍ରିୟ ଲୋକଙ୍କ ପରି-1	
figs-doublet_2_3__1	Doublet	unable to migrate selection, no match found for check in new resources	ବୁଦ୍ଧି ଓ ଜ୍ଞାନର-1	
figs-explicit_1_28__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	ଯେପରି ଆମ୍ଭେମାନେ ପ୍ରତ୍ଯେକ ଲୋକକୁ-1 ଉପସ୍ଥିାପିତ କରିପାରୁ-1	
figs-explicit_3_11__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	କିନ୍ତୁ ଖ୍ରୀଷ୍ଟ ସବୁ ମଧ୍ୟରେ ଓ ସବୁ ଅଟନ୍ତି-1	
figs-idiom_2_7__1	Idiom	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କଠାରେ ବଦ୍ଧମୁଳ-1 ଗୁନ୍ଥା ହୁଅ-1 ବିଶ୍ଵାସରେ ନିଷ୍ଠାବାନ୍ ହୋଇ ଧନ୍ୟବାଦ ଦେବାରେ ବୃଦ୍ଧି ପାଅ-1	
figs-idiom_3_1__1	Idiom	unable to migrate selection, no match found for check in new resources	ଅତଏବ-1 ଯଦି-1	
figs-idiom_3_1__1	Idiom	unable to migrate selection, no match found for check in new resources	ତୁମ୍ଭେମାନେ ଖ୍ରୀଷ୍ଟଙ୍କ ସହିତ ଉତ୍ଥିତ ହେଲ-1	
figs-metaphor_1_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	ସମସ୍ତ ଧର୍ଯ୍ୟଶିଳ ଓ ସହିଷ୍ନ‌ୁତା ନିମନ୍ତେ-1	
figs-metaphor_1_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଉତ୍ତରାଧିକାର-1	
figs-metaphor_1_14__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଯାହାଙ୍କଠାରେ-1	
figs-metaphor_1_22__1	Metaphor	unable to migrate selection, no match found for check in new resources	ତାହାଙ୍କ ସମ୍ନ‌ୁଖରେ-1	
figs-metaphor_1_25__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଈଶ୍ବରଙ୍କ ବାକ୍ଯ ସମ୍ପୁର୍ଣ କରିବାକୁ,-1	
figs-metaphor_1_28__1	Metaphor	unable to migrate selection, no match found for check in new resources	ସିଦ୍ଧ କରି-1	
figs-metaphor_1_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଆତ୍ମାରେ ତୁମ୍ଭମାନଙ୍କ ପ୍ରେମ-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଯାହାଙ୍କଠାରେ ତୁମ୍ଭେମାନେ ମଧ୍ୟ-1 ସୁନ୍ନତପ୍ରାପ୍ତ ହୋଇଥିଲ-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	ବିନା ହସ୍ତରେ ଏକ ସୁନ୍ନତ ସହିତ-1	
figs-metaphor_2_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଆପଣା ସଂସାରର ମନ-1	
figs-metaphor_2_19__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଯେଉଁଠାରୁ ସମଗ୍ର ଶରୀର ଶିରାପ୍ରଶିରା ଓ ସନ୍ଧି ମଧ୍ୟଦେଇ ଏକତ୍ର ସଂଯୁକ୍ତ ହୋଇ ଉପକାର ଓ ପ୍ରତିପୋଷଣ ହୁଏ-1	
figs-metaphor_2_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	ଜ୍ଞାନର ପୂର୍ଣ୍ଣ ନିଶ୍ଚୟତାର ସମସ୍ତ ଧନ-1	
figs-metaphor_2_3__1	Metaphor	unable to migrate selection, no match found for check in new resources	ବୁଦ୍ଧି ଓ ଜ୍ଞାନର-1 ଧନ-1	
