Reference	Localized Group	Message	Selections	
figs-abstractnouns_1_2__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	તમારા પર પુષ્કળ કૃપા તથા શાંતિ થાઓ-1	
figs-abstractnouns_1_5__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	દેવના સામર્થ્ય વડે-1	
figs-abstractnouns_4_19__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	સારું કરીને-1	
figs-activepassive_1_13__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ઈસુ ખ્રિસ્તની પ્રગટ થવાની વેળાએ-1	
figs-activepassive_1_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ઈસુ ખ્રિસ્તના પ્રગટ થવાને સમયે-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	સારું કરવાને લીધે જયારે તમે દુખ ભોગવો છો-1 તે સહન કરો છો-1	
figs-activepassive_2_7__1	Active or Passive	unable to migrate selection, no match found for check in new resources	જે પથ્થર બાંધનારાઓએ નકાર્યો હતો તે-1	
figs-doublet_3_4__1	Doublet	unable to migrate selection, no match found for check in new resources	અંતઃકરણમાં રહેલા ગુપ્ત મનુષ્યત્વનો-1	
figs-euphemism_4_6__1	Euphemism	unable to migrate selection, no match found for check in new resources	દેહમાં રહેનાર માણસોના જેવો ન્યાય થયા-1	
figs-explicit_2_12__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	મુલાકાતના દિવસે-1	
figs-explicit_2_2__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	તમે તારણ સુધી વધો,-1	
figs-explicit_2_6__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	પથ્થર-1 ખૂણાનો મુખ્ય પથ્થર, પસં-1 કરેલો, મુલ્યવાન-1	
figs-explicit_3_9__1	Assumed Knowledge and Implicit Information	unable to migrate selection, no match found for check in new resources	આશીર્વાદ-1	
figs-idiom_1_13__1	Idiom	unable to migrate selection, no match found for check in new resources	સાવધ રહીને-1 સંપૂર્ણપણે-1	
figs-idiom_4_7__1	Idiom	unable to migrate selection, no match found for check in new resources	શાંત રહીને-1	
figs-idiom_5_8__1	Idiom	unable to migrate selection, no match found for check in new resources	સાવચેત થાઓ-1	
figs-metaphor_1_20__1	Metaphor	unable to migrate selection, no match found for check in new resources	તમારે સારુ-1 પ્રગટ થયો,-1	
figs-metaphor_1_4__1	Metaphor	unable to migrate selection, no match found for check in new resources	અવિનાશી, નિર્મળ તથા કરમાઈ ન જનારા-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	દૈહિક વિષયોથી દુર રહો-1	
figs-metaphor_2_11__1	Metaphor	unable to migrate selection, no match found for check in new resources	આત્માની સામે લડે છે-1	
figs-metaphor_2_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	નવા જન્મેલાં બાળકની પેઠે, નિષ્કપટ આત્મિક દુધની ઇચ્છા રાખો-1	
figs-metaphor_2_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	તેથી તે શાસ્ત્રમાં છે-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	ન્યાયીઓ પર પ્રભુની નજર {છે-1	
figs-metaphor_3_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	પ્રભુનું મુખ-1 વિમુખ છે-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	જેથી તે આપણને દેવની પાસે લાવે-1	
figs-metaphor_3_18__1	Metaphor	unable to migrate selection, no match found for check in new resources	દેહમાં મારી નાખવામાં આવ્યો-1	
figs-metaphor_3_6__1	Metaphor	unable to migrate selection, no match found for check in new resources	જેના બાળકો તમે બન્યા છો-1	
figs-metaphor_4_8__1	Metaphor	unable to migrate selection, no match found for check in new resources	પ્રીતિ પાપના પુંજને ઢાંકે છે;-1	
figs-metaphor_5_10__1	Metaphor	unable to migrate selection, no match found for check in new resources	બળવાન {અને} સ્થાપિત કરશે.-1	
figs-metaphor_5_12__1	Metaphor	unable to migrate selection, no match found for check in new resources	તેમાં ઉભા રહો.-1	
figs-metaphor_5_2__1	Metaphor	unable to migrate selection, no match found for check in new resources	દેવનું જે ટોળું-1 તેનું પ્રતિપાલન કરો-1	
figs-metonymy_1_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	સઘળાં પ્રાણી ઘાસના જેવા {છે}-1 ઘાસ સુકાઈ જાય છે-1	
figs-metonymy_2_11__1	Metonymy	unable to migrate selection, no match found for check in new resources	આત્મા-1	
figs-metonymy_2_24__1	Metonymy	unable to migrate selection, no match found for check in new resources	લાકડા પર-1 પોતાના શરીરમાં આપણા પાપ લીધા-1	
figs-metonymy_2_5__1	Metonymy	unable to migrate selection, no match found for check in new resources	આત્મિક બલિદાનો-1 કરવાને માટે પવિત્ર યાજકવર્ગ થયા છો-1	
figs-metonymy_3_10__1	Metonymy	unable to migrate selection, no match found for check in new resources	સારા દિવસો-1	
figs-metonymy_3_4__1	Metonymy	unable to migrate selection, no match found for check in new resources	અંતઃકરણમાં રહેલા ગુપ્ત મનુષ્યત્વનો-1	
figs-metonymy_5_1__1	Metonymy	unable to migrate selection, no match found for check in new resources	પ્રગટ થનાર મહિમાનો ભાગીદાર છું-1	
figs-parallelism_3_10__1	Parallelism	unable to migrate selection, no match found for check in new resources	પોતાની જીભ દુષ્ટતાથી અને પોતાના જીભને કપટી વાતોથી અટકાવવા.-1	
figs-parallelism_4_14__1	Parallelism	unable to migrate selection, no match found for check in new resources	મહિમાનો અને દેવનો આત્મા-1	
figs-parallelism_4_7__1	Parallelism	unable to migrate selection, no match found for check in new resources	સંયમી થાઓ, ને શાંત રહીને-1	
figs-personification_3_20__1	Personification	unable to migrate selection, no match found for check in new resources	જયારે-1 દેવની ધીરજ રાહ જોઈ રહી હતી-1	
figs-personification_4_8__1	Personification	unable to migrate selection, no match found for check in new resources	કેમ કે પ્રીતિ પાપના પુંજને ઢાંકે છે;-1	
figs-synecdoche_3_12__1	Synecdoche	unable to migrate selection, no match found for check in new resources	ન્યાયીઓ પર પ્રભુની નજર {છે}-1	
figs-synecdoche_3_12__1	Synecdoche	unable to migrate selection, no match found for check in new resources	તેના કાન તેમની વિનંતી તરફ {છે}-1	
grammar-connect-logic-result_3_7__1	Connect — Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	કે જેથી-1	
