Reference	Localized Group	Message	Selections	
figs-activepassive_2_11__1	Active or Passive	unable to migrate selection, no match found for check in new resources	आज दाऊदको शहरमा एकजना मुक्तिदाताको जन्म भएको छ, जो ख्रीष्ट प्रभु हुनुहुन्छ !-1	
figs-nominaladj_13_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	आउदो वर्षमा-1	
figs-nominaladj_15_4__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	हराएकाको-1	
figs-nominaladj_17_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	तिमीहरूलाई आज्ञा दिएका सबै कुराहरू-1	
figs-nominaladj_17_9__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	ज्ञा दिएका कुराहरू-1	
figs-nominaladj_19_10__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	हराएकाहरूलाई-1	
figs-nominaladj_23_47__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	भएको घटना देखिसकेपछी,-1	
figs-nominaladj_23_48__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	के भएको थियो देखिसकेपछि,-1	
figs-nominaladj_24_18__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	भईरहेका कुराहरू-1	
figs-nominaladj_24_44__1	Nominal Adjectives	unable to migrate selection, no match found for check in new resources	मेरो बारेमा लेखिएका सबै कुराहरु-1	
