Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	మెస్సీయ యేసు వారిని కూడా రక్షించడం కోసం-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	నా జీవన విధానమును-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	దేవుణ్ణి సేవించడానికి నేను సమస్తాన్ని ఏవిధంగా చేస్తానో-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	నేను కలిగియున్న విధంగా నువ్వు దేవుణ్ణి విశ్వసించావు.-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	నేను కష్టాలు భరిస్తున్నప్పుడు కూడా నేను సమాధానం కలిగియుండడం నీవు చూసావు.-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	నేను దేవుణ్ణి మరియు విశ్వాసులను ప్రేమిస్తున్నానని నీవు చూసావు-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	సేవ చెయ్యడం చాలా కష్టంగా ఉన్నప్పుడు కూడా దేవుణ్ణి సేవించడం నేను కొనసాగించడం నీవు చూసావు.-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	వారు ఈ బోధకులు బుద్ధిహీనమైన కథలతో వారిని మోసపుచ్చేలా చెయ్యనిస్తారు.-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	వారు ఈ బోధకులు బుద్ధిహీనమైన కథలతో వారిని మోసపుచ్చేలా చెయ్యనిస్తారు.-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, there are 2 similar checks	ఖచ్చితమైన సందేశాన్ని-1	
