Reference	Localized Group	Message	Selections	
figs-inclusive_1_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_1_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_2_10__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_2_12__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮಗೆ-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_2_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ ಪರವಾಗಿ-1	
figs-inclusive_2_8__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ-1	
figs-inclusive_3_14__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮ ಜನರು-1	
figs-inclusive_3_15__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_3_3__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ಸ್ವತಃ ನಾವೇ-1	
figs-inclusive_3_4__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-2	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮ್ಮನ್ನು-1	
figs-inclusive_3_6__1	figs-inclusive	unable to migrate selection, no match found for check in new resources	ನಮಗೆ-1	
grammar-connect-logic-result_1_9__1	Connect — Reason-and-Result Relationship	unable to migrate selection, no match found for check in new resources	ಸಲುವಾಗಿಯೂ-1 ಸಲುವಾಗಿಯೂ ಅವನು ಇದನ್ನು ಮಾಡುವವನಾಗಿರಬೇಕು.-1	
