Reference	Localized Group	Message	Selections	
figs-123person_2_10__1	First, Second or Third Person	unable to migrate selection, no match found for check in new resources	ಮನುಷ್ಯ ಕುಮಾರನಿಗೆ-1	
figs-activepassive_1_14__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ಯೇಸು ಗಲಿಲಾಯಕ್ಕೆ ಬಂದು-1	
figs-activepassive_1_15__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ಸಮೀಪವಾಯಿತು-1	
figs-activepassive_2_20__1	Active or Passive	unable to migrate selection, no match found for check in new resources	ಆಮೇಲೆ-1	
figs-doublenegatives_6_8__1	Double Negatives	unable to migrate selection, no match found for check in new resources	ಕೋಲನ್ನು ಮಾತ್ರವೇ ಹೊರತು ಪ್ರಯಾಣಕೋಸ್ಕರ-1 ತೆಗೆದುಕೊಂಡು ಹೋಗಬಾರದು--1	
figs-doublet_14_68__1	Doublet	unable to migrate selection, no match found for check in new resources	ನೀನು ಏನು ಹೇಳುತ್ತಿದ್ದೀ ಎಂದು ನನಗೆ ತಿಳಿಯುತ್ತಿಲ್ಲ ಅಥವಾ ನನಗೆ ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ-1	
figs-ellipsis_15_11__1	Ellipsis	unable to migrate selection, no match found for check in new resources	ಬದಲಾಗಿ ಅವರಿಗೆ ಬರಬ್ಬನನ್ನು ಬಿಡುಗಡೆ ಮಾಡಬೇಕಿತ್ತು.-1	
figs-euphemism_11_30__1	Euphemism	unable to migrate selection, no match found for check in new resources	ಪರಲೋಕದಿಂದಲೋ-1	
figs-euphemism_11_31__1	Euphemism	unable to migrate selection, no match found for check in new resources	ಪರಲೋಕದಿಂದ-1	
figs-euphemism_5_39__1	Euphemism	unable to migrate selection, no match found for check in new resources	ಮಗು ಸತ್ತಿಲ್ಲ ಆದರೆ ಮಲಗಿದ್ದಾಳೆ-1	
