Reference	Localized Group	Message	Selections	
figs-abstractnouns_2_10__1	Abstract Nouns	unable to migrate selection, there are 2 similar checks	मसिहा येशू त्यांना वाचवेल-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	तु पाहिले आहे की मला त्रास होत असतानाही मला शांती आहे-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	आणि मी देवाची सेवा करण्यासाठी सर्वकाही कसे करतो-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	माझ्याप्रमाणे तु देवावर विश्वास ठेवला आहे.-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	तु पाहिले आहे की मला त्रास होत असतानाही मला शांती आहे-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	तु पाहिले आहे की मी देव आणि विश्वासणाऱ्यांवर प्रेम करतो.-1	
figs-abstractnouns_3_10__1	Abstract Nouns	unable to migrate selection, there are 7 similar checks	तु पाहिले आहे की मी खूप कठीण असतानाही देवाची सेवा करत आहे-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	ते या शिक्षकांच्या मूर्ख कथा स्विकारून स्वत:ला फसवून घेतील-1	
figs-metaphor_4_4__1	Metaphor	unable to migrate selection, there are 2 similar checks	ते या शिक्षकांच्या मूर्ख कथा स्विकारून स्वत:ला फसवून घेतील-1	
figs-metonymy_1_13__1	Metonymy	unable to migrate selection, there are 2 similar checks	संदेश-1	
