Reference	Localized Group	Message	Selections	
figs-abstractnouns_3_23__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	आज्ञा यही हो-1 उहाँले हामीलाई आज्ञा दिनुभएअनुसार हामीले-1 विश्‍वास गर्नुपर्छ-1	
figs-abstractnouns_4_9__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	परमेश्‍वरको प्रेम हामीहरूमाझ प्रकट भएको छ-1	
figs-abstractnouns_5_11__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जीवन-1	
figs-abstractnouns_5_16__1	Abstract Nouns	unable to migrate selection, no match found for check in new resources	जीवन-1	
figs-activepassive_1_2__1	Active or Passive	unable to migrate selection, there are 2 similar checks	जीवन-2 प्रकट गरियो-1	
figs-activepassive_1_2__1	Active or Passive	unable to migrate selection, there are 2 similar checks	जुन-1 हामीलाई प्रकट गरियो-1	
figs-activepassive_3_10__1	Active or Passive	unable to migrate selection, no match found for check in new resources	यसैमा परमेश्‍वरका सन्तानहरू र शैतानका सन्तानहरू प्रष्‍ट चिनिन्छ-1	
figs-activepassive_3_2__1	Active or Passive	unable to migrate selection, there are 2 similar checks	अझ पनि प्रकट गरिएको छैन-1	
figs-activepassive_3_9__1	Active or Passive	2 duplicate migrations		
figs-activepassive_4_17__1	Active or Passive	2 duplicate migrations		
figs-ellipsis_3_12__1	Ellipsis	unable to migrate selection, there are 2 similar checks	त्यसका कामहरू दुष्‍ट थिए र त्यसको भाइका कामहरू धार्मिक थिए ।-1	
figs-idiom_3_16__1	Idiom	unable to migrate selection, there are 2 similar checks	किनकि ख्रीष्‍टले हाम्रो निम्ति आफ्नो जीवन दिनुभयो-1	
